"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","elb_var","shldr_ir","elb_var_max","shldr_ir_max","elb_var_min","shldr_ir_min"
"52","p02",25,205.4,74,"R",76.8,36.3,15,46.9,19.653781,29.471356,50.323607,62.955006,12.273731,19.166476
"53","p02",25,205.4,74,"R",76.8,36.3,16,49.3,21.030931,30.565732,50.323607,62.955006,12.273731,19.166476
"54","p02",25,205.4,74,"R",76.8,36.3,17,49.9,21.950635,32.383221,50.323607,62.955006,12.273731,19.166476
"55","p02",25,205.4,74,"R",76.8,36.3,18,54.7,25.497275,36.895613,50.323607,62.955006,12.273731,19.166476
"56","p02",25,205.4,74,"R",76.8,36.3,19,58.6,26.932072,39.821494,50.323607,62.955006,12.273731,19.166476
"57","p02",25,205.4,74,"R",76.8,36.3,20,56.5,25.692281,38.584255,50.323607,62.955006,12.273731,19.166476
"58","p02",25,205.4,74,"R",76.8,36.3,21,59.5,29.429333,42.869371,50.323607,62.955006,12.273731,19.166476
"59","p02",25,205.4,74,"R",76.8,36.3,22,59.6,29.470801,43.206419,50.323607,62.955006,12.273731,19.166476
"60","p02",25,205.4,74,"R",76.8,36.3,23,62.8,31.997203,45.114366,50.323607,62.955006,12.273731,19.166476
"61","p02",25,205.4,74,"R",76.8,36.3,24,65.1,34.020863,47.743653,50.323607,62.955006,12.273731,19.166476
"62","p02",25,205.4,74,"R",76.8,36.3,25,66.6,37.217359,49.98286,50.323607,62.955006,12.273731,19.166476
"63","p02",25,205.4,74,"R",76.8,36.3,26,66.9,36.295494,49.812554,50.323607,62.955006,12.273731,19.166476
"64","p02",25,205.4,74,"R",76.8,36.3,27,67.3,37.85508,50.384948,50.323607,62.955006,12.273731,19.166476
"65","p02",25,205.4,74,"R",76.8,36.3,28,69.8,40.444577,54.124008,50.323607,62.955006,12.273731,19.166476
"66","p02",25,205.4,74,"R",76.8,36.3,29,71.8,43.855078,58.065023,50.323607,62.955006,12.273731,19.166476
"67","p02",25,205.4,74,"R",76.8,36.3,30,70.6,42.53166,58.054238,50.323607,62.955006,12.273731,19.166476
"68","p02",25,205.4,74,"R",76.8,36.3,31,72.6,44.044932,57.432323,50.323607,62.955006,12.273731,19.166476
"69","p02",25,205.4,74,"R",76.8,36.3,32,74.1,47.199831,57.764712,50.323607,62.955006,12.273731,19.166476
"70","p02",25,205.4,74,"R",76.8,36.3,33,74.6,45.984073,60.598093,50.323607,62.955006,12.273731,19.166476
"71","p02",25,205.4,74,"R",76.8,36.3,34,74.6,47.432385,60.061642,50.323607,62.955006,12.273731,19.166476
"72","p02",25,205.4,74,"R",76.8,36.3,35,74,48.282704,61.661612,50.323607,62.955006,12.273731,19.166476
"73","p02",25,205.4,74,"R",76.8,36.3,36,74.9,46.884132,59.161108,50.323607,62.955006,12.273731,19.166476
"74","p02",25,205.4,74,"R",76.8,36.3,37,74.2,47.933775,57.377942,50.323607,62.955006,12.273731,19.166476
