kww	// User ID
16-2-2021	// Evaluation date
alex-pilot_26_75.9	11-2-2021	13:27:40:566	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.890237	// height
89.628650	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
0	2.123402	0.808400	0.101969	-1.558188	0.000000	1.558188	1.012593	-0.920979	-0.633975	0.920979	1.072080	0.064467	
1	2.138608	0.826196	0.110543	-1.479153	0.000000	1.479153	0.968800	-0.930310	-0.636530	0.930310	1.061856	0.059763	
2	1.984230	0.715011	0.113163	-1.362910	0.000000	1.362910	0.823565	-0.802096	-0.609940	0.802096	1.035348	0.058711	
3	1.674461	0.443573	0.109100	-1.308463	0.000000	1.308463	0.711954	-0.758744	-0.577328	0.758744	1.041404	0.060692	
4	1.436657	0.247004	0.103749	-1.383132	0.000000	1.383132	0.716812	-0.910407	-0.541538	0.910407	1.024534	0.064083	
5	1.400073	0.277563	0.101266	-1.535048	0.000000	1.535048	0.777908	-0.986962	-0.503706	0.986962	0.938343	0.068761	
6	1.399712	0.318215	0.100186	-1.619577	0.000000	1.619577	0.771707	-0.862476	-0.473528	0.862476	0.865152	0.075563	
7	1.284650	0.144642	0.097214	-1.592051	0.000000	1.592051	0.668546	-0.782816	-0.453834	0.782816	0.899328	0.082652	
8	1.199893	-0.059662	0.092263	-1.456600	0.000000	1.456600	0.553107	-0.785624	-0.447813	0.785624	0.971984	0.086860	
9	1.299988	-0.034551	0.088753	-1.219658	0.000000	1.219658	0.467705	-0.660573	-0.447662	0.660573	0.959102	0.088976	
10	1.462029	0.091835	0.088062	-0.941004	0.000000	0.941004	0.376424	-0.443371	-0.435930	0.443371	0.892747	0.093597	
11	1.549852	0.101936	0.090653	-0.704441	0.000000	0.704441	0.287791	-0.315038	-0.417507	0.315038	0.852261	0.102699	
12	1.655044	0.126510	0.098490	-0.572708	0.000000	0.572708	0.244808	-0.282685	-0.399588	0.282685	0.791571	0.113394	
13	1.836675	0.321572	0.108688	-0.534023	0.000000	0.534023	0.234101	-0.249683	-0.368319	0.249683	0.662148	0.122994	
14	1.948978	0.511125	0.115767	-0.504663	0.000000	0.504663	0.224700	-0.201223	-0.321478	0.201223	0.518949	0.130583	
15	1.940637	0.588225	0.119167	-0.385127	0.000000	0.385127	0.224786	-0.156509	-0.274249	0.156509	0.400065	0.135152	
16	1.955459	0.746995	0.120342	-0.144307	0.000000	0.144307	0.236981	-0.058612	-0.229793	0.058612	0.284506	0.137153	
17	2.014511	1.022260	0.117984	0.158664	0.000000	-0.158664	0.232138	0.128148	-0.185401	-0.128148	0.173823	0.139951	
18	1.979291	1.176478	0.111921	0.419012	0.000000	-0.419012	0.194903	0.313353	-0.147434	-0.313353	0.093637	0.144956	
19	1.816517	1.124845	0.104907	0.561422	0.000000	-0.561422	0.139977	0.398969	-0.117086	-0.398969	0.048223	0.148740	
20	1.649299	1.031387	0.097941	0.564323	0.000000	-0.564323	0.082580	0.414645	-0.091381	-0.414645	0.022470	0.148288	
21	1.616749	1.032608	0.088942	0.416876	0.000000	-0.416876	0.022811	0.436894	-0.072865	-0.436894	0.005655	0.143737	
22	1.726040	1.083223	0.076833	0.121946	0.000000	-0.121946	-0.046060	0.440228	-0.056849	-0.440228	-0.006117	0.136105	
23	1.843706	1.074793	0.064391	-0.282231	0.000000	0.282231	-0.128159	0.324562	-0.030106	-0.324562	-0.018615	0.126105	
24	1.878247	1.006173	0.055999	-0.724756	0.000000	0.724756	-0.217335	0.095527	0.006853	-0.095527	-0.039235	0.115130	
25	1.834295	0.910210	0.053335	-1.082965	0.000000	1.082965	-0.302054	-0.159735	0.044963	0.159735	-0.066139	0.106157	
26	1.684453	0.730207	0.054707	-1.261046	0.000000	1.261046	-0.374668	-0.416483	0.078868	0.416483	-0.088636	0.102413	
27	1.402266	0.452766	0.058437	-1.417012	0.000000	1.417012	-0.422805	-0.630872	0.096438	0.630872	-0.102819	0.105106	
28	1.065065	0.196490	0.064296	-1.824855	0.000000	1.824855	-0.433865	-0.731330	0.090839	0.731330	-0.112619	0.112856	
29	0.758607	0.019168	0.071929	-2.399778	0.000000	2.399778	-0.409115	-0.758571	0.075236	0.758571	-0.116748	0.122488	
30	0.489773	-0.160192	0.080217	-2.701694	0.000000	2.701694	-0.339812	-0.728009	0.057157	0.728009	-0.121178	0.131003	
31	0.281426	-0.349267	0.088856	-2.340237	0.000000	2.340237	-0.222655	-0.601737	0.041061	0.601737	-0.147285	0.136507	
32	0.234213	-0.413782	0.099224	-1.519040	0.000000	1.519040	-0.105656	-0.462149	0.050104	0.462149	-0.210250	0.138469	
33	0.418906	-0.297851	0.112510	-0.956834	0.000000	0.956834	-0.041806	-0.436392	0.103514	0.436392	-0.320578	0.139130	
34	0.741178	-0.143092	0.128064	-1.142167	0.000000	1.142167	-0.033020	-0.582438	0.190681	0.582438	-0.502057	0.142022	
35	1.012017	-0.099503	0.144918	-2.045484	0.000000	2.045484	-0.068471	-0.919161	0.288815	0.919161	-0.754943	0.148363	
36	1.165944	-0.121809	0.162513	-3.330404	0.000000	3.330404	-0.159782	-1.347609	0.379529	1.347609	-1.014910	0.158084	
37	1.246752	-0.111622	0.179203	-4.423397	0.000000	4.423397	-0.304046	-1.627515	0.448304	1.627515	-1.205500	0.171546	
38	1.232810	-0.131508	0.192754	-4.677335	0.000000	4.677335	-0.457023	-1.649609	0.494976	1.649609	-1.326171	0.187088	
39	1.108259	-0.235393	0.202847	-3.893124	0.000000	3.893124	-0.574426	-1.528458	0.524732	1.528458	-1.407495	0.200467	
40	0.985731	-0.289582	0.210793	-2.557079	0.000000	2.557079	-0.642926	-1.306611	0.520941	1.306611	-1.422725	0.207585	
41	0.955188	-0.199499	0.217284	-1.357410	0.000000	1.357410	-0.651771	-0.939457	0.477013	0.939457	-1.353056	0.207212	
42	0.979139	-0.065101	0.222081	-0.594025	0.000000	0.594025	-0.587927	-0.532010	0.428192	0.532010	-1.268687	0.202081	
43	1.029994	0.014435	0.224465	-0.162967	0.000000	0.162967	-0.496184	-0.281458	0.415245	0.281458	-1.268042	0.197717	
44	1.099458	0.045889	0.223781	0.157946	0.000000	-0.157946	-0.468744	-0.201144	0.435822	0.201144	-1.347265	0.198940	
45	1.125797	0.087583	0.220852	0.492368	0.000000	-0.492368	-0.542061	-0.090687	0.437119	0.090687	-1.351503	0.206570	
46	1.128302	0.216201	0.217459	0.728244	0.000000	-0.728244	-0.678812	0.131678	0.384145	-0.131678	-1.172981	0.218945	
47	1.239914	0.430946	0.214030	0.582498	0.000000	-0.582498	-0.852774	0.368879	0.335443	-0.368879	-0.982795	0.234340	
48	1.512716	0.670749	0.209674	-0.015289	0.000000	0.015289	-1.089110	0.614017	0.363346	-0.614017	-0.966664	0.250340	
49	1.862679	0.949593	0.203537	-0.875470	0.000000	0.875470	-1.399043	0.875993	0.416384	-0.875993	-0.990083	0.263071	
