kww	// User ID
16-2-2021	// Evaluation date
kevin-pilot_16_77.1	16-2-2021	11:43:36:803	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.790705	// height
85.991959	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
44	1.523280	0.792051	0.112170	-1.515583	0.426147	1.515583	-0.747477	-0.225894	0.277637	0.225894	-0.179823	0.213183	
45	2.114614	1.110139	0.113942	-1.333756	0.277908	1.333756	-0.969264	-0.123194	0.445556	0.123194	-0.207987	0.213394	
46	2.717506	1.480476	0.114061	-1.171362	0.299911	1.171362	-1.356855	-0.375308	0.680302	0.375308	-0.391729	0.223747	
47	2.001493	1.026319	0.116631	-0.483553	0.135411	0.483553	-1.041770	0.116457	0.447648	-0.116457	-0.114263	0.241788	
48	0.576661	0.099659	0.117676	1.275645	-0.334902	-1.275645	-0.095694	1.601524	-0.116153	-1.601524	0.467693	0.260726	
49	0.007709	-0.269191	0.115499	3.250490	-0.658478	-3.250490	0.456304	2.559967	-0.362823	-2.559967	0.636455	0.276154	
50	0.317481	-0.038160	0.116861	4.232720	-0.570329	-4.232720	0.342965	2.320739	-0.214798	-2.320739	0.389343	0.288182	
51	0.411410	0.063007	0.124608	4.301582	-0.439640	-4.301582	0.236771	2.013882	-0.151420	-2.013882	0.247153	0.299309	
52	0.210492	-0.033225	0.133938	3.884018	-0.469586	-3.884018	0.304742	1.859452	-0.236435	-1.859452	0.262118	0.311594	
53	0.472572	0.182172	0.140633	2.809422	-0.307593	-2.809422	0.060725	0.963554	-0.129799	-0.963554	0.119641	0.325446	
54	0.958331	0.551502	0.146936	1.294479	0.090591	-1.294479	-0.428076	-0.258137	0.103585	0.258137	-0.118150	0.338777	
55	0.890858	0.525670	0.156102	0.394642	0.267370	-0.394642	-0.562558	-0.376420	0.101343	0.376420	-0.112020	0.346956	
