kww	// User ID
16-2-2021	// Evaluation date
kevin-pilot_19_80.1	16-2-2021	11:45:23:664	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.790705	// height
85.991959	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
0	-3.276873	-1.093311	0.553994	10.664084	-1.857365	-10.664084	2.115905	4.917705	-1.340708	-4.917705	1.453751	0.174242	
1	-2.455396	-1.189127	0.549947	11.765857	-1.942524	-11.765857	2.318300	5.325085	-1.409773	-5.325085	1.555562	0.180713	
2	-1.705974	-1.000129	0.539163	12.040622	-1.741328	-12.040622	2.107629	4.458572	-1.160481	-4.458572	1.298253	0.189492	
3	-0.718471	0.035526	0.531928	8.326344	-0.414272	-8.326344	0.355472	0.563256	0.116318	-0.563256	-0.030795	0.191326	
4	-0.449487	0.693483	0.533304	2.329413	0.524269	-2.329413	-0.979016	-1.745439	0.959115	1.745439	-0.884021	0.181167	
5	-1.470290	0.331397	0.535065	0.518885	0.130750	-0.518885	-0.600774	-0.696631	0.578006	0.696631	-0.396681	0.165196	
6	-2.724835	0.087147	0.533213	5.248042	-0.312563	-5.248042	-0.010516	0.322859	0.201629	-0.322859	-0.016149	0.156609	
7	-3.356252	0.611663	0.533703	11.616329	0.038268	-11.616329	-0.342847	0.271467	0.561997	-0.271467	-0.616546	0.161587	
8	-3.911239	0.854052	0.534746	15.717140	0.150332	-15.717140	-0.295440	2.369161	0.470420	-2.369161	-0.858878	0.184495	
9	-4.702130	0.092114	0.524298	19.504493	-0.886910	-19.504493	1.114323	6.897203	-0.731986	-6.897203	0.175924	0.229153	
10	-5.029231	-0.928824	0.496618	24.944997	-2.438217	-24.944997	2.827760	10.215209	-1.959952	-10.215209	1.506773	0.282184	
11	-4.748820	-1.600812	0.455917	29.663449	-3.753972	-29.663449	3.897669	11.092754	-2.488516	-11.092754	2.348928	0.323050	
12	-4.643667	-2.309511	0.407131	30.447059	-5.017722	-30.447059	4.744323	11.437345	-2.863730	-11.437345	3.124672	0.346716	
13	-4.831463	-3.126036	0.354912	27.117222	-6.120511	-27.117222	5.432468	11.245155	-3.245496	-11.245155	3.900037	0.361221	
14	-4.606253	-3.364519	0.309593	20.753775	-6.133198	-20.753775	5.189174	9.195527	-3.091773	-9.195527	3.997967	0.371338	
15	-3.969066	-2.889125	0.282744	12.415133	-4.915610	-12.415133	4.004902	6.158558	-2.442897	-6.158558	3.425197	0.374711	
16	-3.622446	-2.328747	0.275355	3.945271	-3.480524	-3.945271	2.754256	3.788545	-1.873985	-3.788545	2.885490	0.371187	
17	-3.576720	-1.874524	0.281878	-2.447471	-2.398135	2.447471	1.815509	1.904599	-1.476519	-1.904599	2.506952	0.363555	
18	-3.339125	-1.280319	0.299574	-5.111255	-1.569846	5.111255	1.033431	-0.139675	-0.995928	0.139675	1.944548	0.348919	
19	-3.078435	-0.776169	0.323011	-3.915606	-1.202880	3.915606	0.602154	-1.188789	-0.572947	1.188789	1.423624	0.323054	
20	-3.185954	-0.734567	0.341435	-0.391030	-1.473233	0.391030	0.756294	-0.295541	-0.495107	0.295541	1.362241	0.291634	
21	-3.375061	-0.968456	0.348764	3.072678	-1.899066	-3.072678	1.133944	1.325010	-0.634929	-1.325010	1.542060	0.266496	
22	-3.339830	-1.186816	0.346278	4.372707	-2.058142	-4.372707	1.360294	2.683912	-0.774580	-2.683912	1.662653	0.253489	
23	-3.367459	-1.407098	0.334851	3.092992	-2.048354	-3.092992	1.482018	4.004752	-0.919778	-4.004752	1.802154	0.249968	
24	-3.568246	-1.534859	0.315370	0.024085	-1.840791	-0.024085	1.473460	4.916192	-1.016084	-4.916192	1.876931	0.249428	
25	-3.566253	-1.363687	0.293831	-3.872341	-1.265766	3.872341	1.173864	4.622641	-0.913516	-4.622641	1.659156	0.244782	
26	-3.304982	-1.118602	0.276309	-6.949880	-0.703520	6.949880	0.849929	3.827104	-0.751448	-3.827104	1.371441	0.234774	
27	-3.108414	-1.223940	0.260790	-7.002166	-0.695259	7.002166	1.051589	4.394239	-0.889180	-4.394239	1.420976	0.226546	
