kww	// User ID
16-2-2021	// Evaluation date
luke-pilot_12_59.5	3-2-2021	11:59:19:861	// Source file name and timestamp
238.095	// Sampling rate
4.000	// Data capture period

1.835409	// height
81.720696	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
44	0.811249	-0.384739	0.070878	0.949627	0.000000	-0.949627	-0.005559	0.177047	0.061582	-0.177047	-0.655566	0.117038	
45	0.849389	-0.171582	0.077174	0.742586	0.000000	-0.742586	-0.057475	0.224405	0.024197	-0.224405	-0.503807	0.107545	
46	1.093931	0.075931	0.082683	0.704087	0.000000	-0.704087	-0.115620	0.324331	-0.014621	-0.324331	-0.404995	0.098509	
47	1.424010	0.235672	0.086942	0.826414	0.000000	-0.826414	-0.140257	0.454297	-0.056163	-0.454297	-0.380727	0.089786	
48	1.676605	0.332579	0.087413	1.016646	0.000000	-1.016646	-0.140327	0.602451	-0.097639	-0.602451	-0.368702	0.078951	
49	1.620245	0.263889	0.084015	1.110918	0.000000	-1.110918	-0.118910	0.643883	-0.119302	-0.643883	-0.351646	0.068444	
50	1.179632	-0.086835	0.079751	1.083214	0.000000	-1.083214	-0.032099	0.553842	-0.124580	-0.553842	-0.349683	0.062635	
51	0.586389	-0.554854	0.078171	1.027772	-0.000000	-1.027772	0.110638	0.420705	-0.126941	-0.420705	-0.368599	0.062644	
52	0.131151	-0.870487	0.081396	0.908812	-0.000000	-0.908812	0.217276	0.274834	-0.121389	-0.274834	-0.394144	0.068274	
53	-0.090633	-0.998274	0.088437	0.692190	-0.000000	-0.692190	0.252306	0.129219	-0.111784	-0.129219	-0.426903	0.078480	
54	-0.042237	-0.994764	0.096962	0.443782	-0.000000	-0.443782	0.261053	0.023606	-0.116833	-0.023606	-0.495214	0.090649	
55	0.372145	-0.756926	0.105058	0.170373	-0.000000	-0.170373	0.254055	-0.007394	-0.143532	0.007394	-0.581117	0.101138	
56	1.039064	-0.269154	0.110326	-0.142769	0.000000	0.142769	0.208033	0.057002	-0.184527	-0.057002	-0.617893	0.106108	
57	1.570490	0.179555	0.111196	-0.394517	0.000000	0.394517	0.151002	0.178092	-0.227752	-0.178092	-0.597377	0.103244	
58	1.789567	0.389284	0.108421	-0.495809	0.000000	0.495809	0.124300	0.278208	-0.263190	-0.278208	-0.562546	0.093013	
59	1.915657	0.514075	0.102963	-0.452110	0.000000	0.452110	0.109335	0.408080	-0.301014	-0.408080	-0.519220	0.078513	
60	2.054577	0.647059	0.094639	-0.293981	0.000000	0.293981	0.080368	0.596669	-0.344492	-0.596669	-0.466025	0.063441	
61	2.044363	0.655910	0.084586	-0.093493	0.000000	0.093493	0.060174	0.708342	-0.372038	-0.708342	-0.421023	0.050562	
62	1.915915	0.583793	0.075304	0.159040	0.000000	-0.159040	0.041489	0.765767	-0.383223	-0.765767	-0.374266	0.042220	
63	1.870934	0.605450	0.067271	0.592522	0.000000	-0.592522	-0.028881	0.931927	-0.400399	-0.931927	-0.309813	0.039451	
64	1.900185	0.672325	0.059513	1.165571	0.000000	-1.165571	-0.138322	1.134298	-0.428243	-1.134298	-0.245924	0.040299	
65	1.909613	0.682333	0.052462	1.659633	0.000000	-1.659633	-0.228892	1.215603	-0.456133	-1.215603	-0.193365	0.041573	
66	1.890936	0.663498	0.047071	1.920432	0.000000	-1.920432	-0.300791	1.155944	-0.463009	-1.155944	-0.138415	0.040910	
67	1.777414	0.574315	0.043676	1.799241	0.000000	-1.799241	-0.354156	0.950316	-0.433668	-0.950316	-0.084352	0.038418	
68	1.530675	0.347536	0.041818	1.282860	0.000000	-1.282860	-0.329896	0.660725	-0.392537	-0.660725	-0.049606	0.036951	
69	1.287296	0.098449	0.039607	0.639551	0.000000	-0.639551	-0.223268	0.404615	-0.356022	-0.404615	-0.036270	0.037020	
70	1.147407	-0.039030	0.035836	0.082754	0.000000	-0.082754	-0.113090	0.184747	-0.300728	-0.184747	-0.032662	0.035804	
71	1.043444	-0.113759	0.031561	-0.336795	0.000000	0.336795	-0.036937	-0.021997	-0.227808	0.021997	-0.031447	0.033959	
72	0.924243	-0.212537	0.028362	-0.551384	0.000000	0.551384	0.020082	-0.175130	-0.165968	0.175130	-0.033149	0.036288	
73	0.841162	-0.303027	0.026938	-0.558845	0.000000	0.558845	0.053490	-0.236565	-0.122289	0.236565	-0.036531	0.044886	
74	0.825162	-0.330462	0.027266	-0.447878	0.000000	0.447878	0.052643	-0.210586	-0.090554	0.210586	-0.037336	0.057385	
75	0.846589	-0.318274	0.028418	-0.295580	0.000000	0.295580	0.033742	-0.138787	-0.072558	0.138787	-0.033329	0.069993	
