kww	// User ID
12-2-2021	// Evaluation date
nate-pilot_30_49.2	12-2-2021	09:44:57:839	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.632822	// height
82.450500	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
0	-1.362862	-0.343408	32.548081	-0.861258	-0.169078	0.861258	0.141833	-0.464872	-0.183893	0.464872	0.217916	
1	-1.273702	-0.371764	35.964366	-0.666509	-0.158958	0.666509	0.129958	-0.338817	-0.140740	0.338817	0.231327	
2	-1.229098	-0.329519	38.019603	-0.587641	-0.128476	0.587641	0.107482	-0.276863	-0.100873	0.276863	0.200215	
3	-1.193015	-0.202777	37.537820	-0.638659	-0.088434	0.638659	0.089228	-0.276281	-0.070642	0.276281	0.114237	
4	-1.075664	-0.071047	34.763654	-0.798597	0.000000	0.798597	0.085766	-0.309397	-0.051676	0.309397	0.031563	
5	-0.866543	0.014289	30.858778	-1.050849	-0.016280	1.050849	0.088037	-0.356183	-0.038132	0.356183	-0.007652	
6	-0.662266	0.069100	26.841976	-1.395555	0.015893	1.395555	0.070687	-0.436307	-0.022074	0.436307	-0.011003	
7	-0.614995	0.087269	22.994948	-1.802029	0.029852	1.802029	0.035205	-0.580374	-0.017284	0.580374	0.013380	
8	-0.812595	0.034978	19.426771	-2.090311	0.008019	2.090311	0.046130	-0.740078	-0.064360	0.740078	0.061454	
9	-1.183431	-0.078737	16.696586	-1.939759	-0.055791	1.939759	0.168633	-0.795845	-0.182631	0.795845	0.125317	
10	-1.561047	-0.194978	15.678883	-1.196751	-0.152445	1.196751	0.374405	-0.682188	-0.329310	0.682188	0.199187	
11	-1.812436	-0.253156	16.918500	-0.235552	-0.254699	0.235552	0.547608	-0.444299	-0.427885	0.444299	0.281219	
12	-1.894911	-0.227459	20.322013	0.399597	-0.324695	-0.399597	0.585018	-0.144134	-0.433309	0.144134	0.371711	
13	-1.838570	-0.141789	25.368240	0.684069	-0.338497	-0.684069	0.484050	0.172804	-0.364172	-0.172804	0.467126	
14	-1.695567	-0.054459	31.329332	0.943573	-0.307256	-0.943573	0.330322	0.453372	-0.271172	-0.453372	0.556075	
15	-1.499573	-0.001280	37.372583	1.252467	-0.257684	-1.252467	0.200001	0.635615	-0.187485	-0.635615	0.624303	
16	-1.251031	0.025749	42.634614	1.417740	-0.198541	-1.417740	0.107969	0.679447	-0.120363	-0.679447	0.652855	
17	-0.924623	0.024997	46.253131	1.319963	-0.123431	-1.319963	0.042898	0.603068	-0.069753	-0.603068	0.595937	
18	-0.530594	-0.028918	47.418971	1.013545	-0.034380	-1.013545	-0.001102	0.450937	-0.034529	-0.450937	0.410231	
19	-0.207074	-0.134504	45.796145	0.602628	0.042161	-0.602628	-0.026092	0.272408	-0.012502	-0.272408	0.177023	
20	-0.159942	-0.253978	42.009490	0.179857	0.068331	-0.179857	-0.035234	0.113801	-0.002371	-0.113801	0.112684	
21	-0.458970	-0.350345	37.252600	-0.202030	0.023910	0.202030	-0.029865	-0.029905	-0.003276	0.029905	0.351745	
22	-0.990621	-0.422928	32.367474	-0.542526	-0.077115	0.542526	-0.010663	-0.194087	-0.013181	0.194087	0.804157	
23	-1.580496	-0.509267	27.640447	-0.831575	-0.186202	0.831575	0.014066	-0.366623	-0.027471	0.366623	1.264750	
24	-2.108427	-0.636803	23.248009	-1.021777	-0.264221	1.021777	0.031630	-0.489716	-0.040808	0.489716	1.602236	
25	-2.537751	-0.788576	19.683486	-1.085176	-0.317237	1.085176	0.034982	-0.525054	-0.048839	0.525054	1.817209	
26	-2.803170	-0.924617	18.330574	-1.067237	-0.344081	1.067237	0.017775	-0.487003	-0.045733	0.487003	1.912725	
27	-2.818191	-1.036513	21.643808	-1.072560	-0.294067	1.072560	-0.034990	-0.425964	-0.023301	0.425964	1.866122	
28	-2.662717	-1.163063	30.918697	-1.220045	-0.122370	1.220045	-0.138870	-0.410597	0.022501	0.410597	1.752109	
29	-2.504499	-1.297493	45.526923	-1.566389	0.136362	1.566389	-0.279603	-0.487849	0.083088	0.487849	1.685694	
30	-2.377412	-1.338638	64.476887	-2.062332	0.357489	2.062332	-0.382292	-0.659754	0.133325	0.659754	1.662609	
31	-2.255646	-1.232364	86.633812	-2.633205	0.430180	2.633205	-0.378935	-0.907745	0.153109	0.907745	1.625985	
32	-2.170330	-1.072022	110.520573	-3.268047	0.398935	3.268047	-0.311465	-1.243637	0.160346	1.243637	1.604713	
33	-2.089601	-0.951917	134.402871	-3.921719	0.380394	3.921719	-0.254752	-1.700783	0.185405	1.700783	1.626272	
34	-1.936949	-0.838622	156.503192	-4.312327	0.361643	4.312327	-0.210991	-2.140343	0.223712	2.140343	1.648384	
35	-1.795079	-0.699427	175.499584	-4.064702	0.250491	4.064702	-0.207469	-2.208426	0.278001	2.208426	1.698475	
36	-1.775480	-0.613560	191.380041	-3.115706	0.056253	3.115706	-0.345320	-1.710210	0.379742	1.710210	1.875607	
37	-1.833935	-0.639001	205.459737	-1.841957	-0.133213	1.841957	-0.671801	-0.886831	0.511594	0.886831	2.162480	
38	-1.915198	-0.696531	218.903017	-0.834000	-0.250722	0.834000	-1.112395	-0.213378	0.653626	0.213378	2.485692	
