kww	// User ID
12-2-2021	// Evaluation date
nate-pilot_21_62.7	12-2-2021	09:41:38:906	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.632822	// height
82.450500	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
47	-2.426848	-1.141786	181.498907	-2.634824	-1.541526	2.634824	3.011028	-2.404000	-0.341063	2.404000	8.634696	
48	-2.183743	-1.187720	186.805051	-1.942471	-2.078298	1.942471	3.589861	-1.853046	-0.559825	1.853046	6.968336	
49	-1.780211	-1.135331	191.229764	-0.975355	-2.284245	0.975355	3.584625	-1.049730	-0.636828	1.049730	4.769217	
50	-1.480215	-1.198061	194.250088	0.534515	-2.418810	-0.534515	3.443058	-0.279861	-0.603318	0.279861	2.312756	
51	-1.460755	-1.457359	195.224309	1.702404	-2.721870	-1.702404	3.579795	0.001235	-0.588619	-0.001235	0.293866	
52	-1.820070	-1.935607	194.323243	2.092730	-3.198112	-2.092730	4.162335	0.077920	-0.755691	-0.077920	-0.646028	
53	-2.443134	-2.556645	192.210055	1.808924	-3.565730	-1.808924	4.953276	0.182596	-1.130102	-0.182596	-0.698033	
54	-2.922872	-2.931162	189.217326	0.488139	-3.381809	-0.488139	5.483956	-0.078797	-1.569802	0.078797	0.039779	
55	-2.923842	-2.628770	186.154926	-1.672436	-2.449843	1.672436	5.815779	-0.921139	-2.039518	0.921139	2.365401	
56	-2.489435	-1.698520	184.820809	-3.489344	-1.006379	3.489344	6.363057	-2.269413	-2.656127	2.269413	6.335891	
57	-1.943785	-0.676812	186.181969	-4.458094	0.440406	4.458094	7.046029	-4.182584	-3.368881	4.182584	10.217249	
58	-1.609234	-0.065496	189.325710	-5.422067	1.384562	5.422067	7.561582	-6.149430	-3.994465	6.149430	12.460558	
59	-1.493868	0.192477	193.465589	-6.866547	1.677640	6.866547	7.863717	-7.106304	-4.575457	7.106304	13.582947	
60	-1.362134	0.487385	199.339570	-7.920383	1.628530	7.920383	7.943219	-6.984848	-5.281487	6.984848	14.907267	
61	-1.193472	0.783040	207.339290	-7.747086	1.501057	7.747086	7.756962	-6.672822	-5.935772	6.672822	15.959106	
62	-1.189713	0.676332	215.929790	-6.933677	1.214130	6.933677	7.178249	-6.372976	-6.008240	6.372976	14.977579	
63	-1.399137	0.144416	223.300177	-6.119039	0.664099	6.119039	6.449371	-5.595247	-5.463794	5.595247	12.114414	
64	-1.765022	-0.487944	229.219438	-4.457842	-0.012699	4.457842	6.678101	-4.651152	-5.054769	4.651152	9.616711	
65	-2.270225	-1.075587	234.021150	-1.756152	-0.511001	1.756152	8.308386	-4.431051	-5.220324	4.431051	8.576119	
66	-2.719493	-1.531347	237.113623	-0.202447	-0.590922	0.202447	9.843135	-4.909723	-5.493629	4.909723	8.151600	
67	-2.765467	-1.599570	237.894799	-1.183014	-0.411584	1.183014	9.836399	-5.026938	-5.414586	5.026938	7.837566	
68	-2.328052	-1.201688	237.030812	-3.102059	-0.340477	3.102059	8.711222	-4.293427	-5.075054	4.293427	7.844165	
69	-1.709372	-0.668562	235.502482	-4.088688	-0.417200	4.088688	7.520397	-3.355298	-4.573733	3.355298	7.705626	
70	-1.270934	-0.432075	233.122474	-4.218302	-0.518377	4.218302	6.378053	-2.838724	-3.664818	2.838724	6.315473	
71	-1.127251	-0.628009	228.965680	-4.096267	-0.752591	4.096267	4.836847	-2.250904	-2.148307	2.250904	3.237892	
72	-1.168945	-1.018256	222.861598	-3.057539	-1.203795	3.057539	3.222792	-0.959372	-0.517566	0.959372	-0.172479	
73	-1.357521	-1.307530	215.893534	-0.753463	-1.619813	0.753463	2.954723	0.200139	-0.007198	-0.200139	-1.241645	
74	-1.784544	-1.454952	209.463713	0.925839	-1.638513	-0.925839	4.885862	-0.291399	-1.364490	0.291399	1.279431	
75	-2.361090	-1.520847	204.192263	0.063074	-1.169194	-0.063074	8.033516	-2.386831	-3.930175	2.386831	5.923859	
76	-2.737145	-1.392967	200.273863	-2.458274	-0.491069	2.458274	10.982553	-4.547398	-6.605743	4.547398	10.679773	
77	-2.612006	-0.909683	198.432973	-4.269867	0.036799	4.269867	13.185845	-5.646458	-8.790366	5.646458	14.493579	
78	-2.053499	-0.204240	199.295467	-4.332969	0.287132	4.332969	14.405165	-5.694180	-10.050071	5.694180	16.574394	
79	-1.497845	0.256529	202.100947	-3.841522	0.324980	3.841522	14.078026	-5.099706	-9.877610	5.099706	16.081169	
