kww	// User ID
11-2-2021	// Evaluation date
kyle-pilot2_23_66.8	10-2-2021	15:07:44:861	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.852879	// height
83.778452	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
0	-0.588372	0.248629	94.746588	-9.897833	0.674817	9.897833	-1.138458	-5.020350	1.416727	5.020350	0.490790	
1	-0.542554	0.331484	95.151739	-10.265434	0.865751	10.265434	-1.290788	-5.782776	1.477721	5.782776	0.450430	
2	-0.773991	0.068095	94.180552	-9.647669	0.678344	9.647669	-1.008840	-5.269617	1.443516	5.269617	0.530893	
3	-1.206649	-0.412352	92.108557	-7.824198	0.297305	7.824198	-0.643032	-4.001988	1.407670	4.001988	0.701991	
4	-1.487185	-0.667278	89.408964	-6.007500	0.084825	6.007500	-0.460341	-3.055625	1.489704	3.055625	0.863154	
5	-1.488748	-0.610199	86.666163	-4.648724	-0.004671	4.648724	-0.273844	-2.483951	1.604112	2.483951	0.960610	
6	-1.435552	-0.521263	84.249976	-2.817975	-0.180996	2.817975	-0.000446	-2.013544	1.675775	2.013544	1.049137	
7	-1.414784	-0.428024	82.098055	-0.710531	-0.300199	0.710531	0.038570	-2.233768	1.807717	2.233768	1.180549	
8	-1.265095	-0.161181	79.906967	-0.022903	-0.161395	0.022903	-0.203865	-3.289527	1.985533	3.289527	1.286057	
9	-0.987768	0.123641	77.391595	-0.760466	0.028473	0.760466	-0.330335	-3.989449	1.957803	3.989449	1.260546	
10	-0.815442	0.117269	74.283213	-1.199874	0.018808	1.199874	-0.212739	-3.573037	1.621384	3.573037	1.129127	
11	-0.816596	-0.101155	70.444473	-0.943902	-0.055149	0.943902	-0.135906	-2.618587	1.222411	2.618587	1.020482	
12	-0.819000	-0.222098	66.116336	-0.969958	-0.040259	0.969958	-0.164772	-1.884534	0.988337	1.884534	0.964075	
13	-0.823281	-0.280846	61.806781	-1.557954	-0.058722	1.557954	-0.087725	-1.396794	0.858084	1.396794	0.949521	
14	-1.072299	-0.562783	57.975496	-2.227303	-0.162250	2.227303	0.005050	-0.872003	0.713566	0.872003	1.107238	
15	-1.558642	-1.004135	54.981062	-2.828648	-0.104698	2.828648	-0.239883	-0.400933	0.636773	0.400933	1.490076	
16	-1.929565	-1.220295	53.155971	-3.809679	0.284076	3.809679	-0.843133	-0.419012	0.763424	0.419012	1.877149	
17	-1.987898	-1.081454	52.693587	-5.524726	0.789981	5.524726	-1.410370	-1.058058	1.044909	1.058058	2.081338	
18	-1.838157	-0.781917	53.543017	-7.313761	1.076064	7.313761	-1.580163	-1.942437	1.305051	1.942437	2.131494	
19	-1.562465	-0.443441	55.472091	-8.141904	1.040297	8.141904	-1.350570	-2.691311	1.451131	2.691311	2.069439	
20	-1.141465	-0.042567	58.168260	-7.987760	0.800004	7.987760	-0.953430	-3.218600	1.501189	3.218600	1.890910	
21	-0.616901	0.381757	61.255004	-7.302803	0.454953	7.302803	-0.540337	-3.438268	1.469453	3.438268	1.612475	
