kww	// User ID
11-2-2021	// Evaluation date
kyle-pilot2_02_31.9	10-2-2021	15:01:14:883	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.852879	// height
83.778452	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
47	-1.507971	-0.897435	85.610268	-5.889737	-0.200578	5.889737	0.405801	-2.956276	0.293623	2.956276	2.720651	
48	-1.430065	-0.859762	88.270835	-5.322977	-0.251998	5.322977	0.308639	-2.971413	0.218873	2.971413	2.711897	
49	-1.634968	-1.056080	90.925482	-4.916585	-0.247145	4.916585	0.339443	-2.809254	0.084868	2.809254	2.965940	
50	-1.633947	-1.054814	93.724401	-5.198344	-0.206556	5.198344	0.338760	-2.554252	-0.010636	2.554252	3.094122	
51	-1.639991	-1.090176	96.731080	-5.107514	-0.349482	5.107514	0.432543	-1.777631	-0.131395	1.777631	3.096863	
52	-1.953221	-1.369012	99.642781	-3.635662	-0.608644	3.635662	0.671142	-0.720219	-0.329989	0.720219	3.441891	
53	-2.164344	-1.475248	102.186344	-1.463284	-0.724192	1.463284	0.775620	-0.299503	-0.419308	0.299503	3.966454	
54	-2.033888	-1.292453	104.400392	0.302661	-0.836790	-0.302661	0.704547	-0.431719	-0.332582	0.431719	4.110235	
55	-2.028655	-1.297739	106.275996	1.824179	-1.218243	-1.824179	0.770634	-0.234458	-0.299566	0.234458	4.092023	
56	-2.336238	-1.572237	107.657187	3.115294	-1.611365	-3.115294	0.986565	-0.094611	-0.332238	0.094611	4.434922	
57	-2.445703	-1.628094	108.713896	3.015300	-1.680737	-3.015300	1.062023	-0.829517	-0.191688	0.829517	4.778502	
58	-2.213098	-1.443470	109.946726	1.449584	-1.660267	-1.449584	1.068448	-1.546988	0.017137	1.546988	4.536819	
59	-2.338943	-1.705822	111.602081	0.269112	-1.962534	-0.269112	1.367200	-0.980011	-0.072055	0.980011	4.127837	
60	-3.114519	-2.571805	113.519506	0.445315	-2.546468	-0.445315	1.910511	0.264974	-0.402774	-0.264974	4.247628	
61	-3.734570	-3.190761	115.481580	0.799100	-2.948026	-0.799100	2.219888	0.701774	-0.539454	-0.701774	4.615113	
62	-3.613148	-3.060341	117.367227	0.368532	-2.923307	-0.368532	2.128985	0.166077	-0.373458	-0.166077	4.611648	
63	-3.129292	-2.603678	119.060642	-0.150485	-2.707996	0.150485	1.910897	-0.442008	-0.157985	0.442008	4.310271	
64	-2.552307	-2.025326	120.439784	-0.387990	-2.365172	0.387990	1.605198	-1.211467	0.097960	1.211467	4.168937	
65	-1.713066	-1.123285	121.445483	-1.201539	-1.636790	1.201539	1.038356	-2.651808	0.509259	2.651808	4.273530	
66	-0.842298	-0.208784	122.115039	-2.714728	-0.716298	2.714728	0.405427	-3.941621	0.864440	3.941621	4.274374	
67	-0.315056	0.275682	122.535643	-4.074450	-0.109590	4.074450	0.043906	-4.209758	0.950374	4.209758	3.920739	
68	-0.048857	0.470779	122.785929	-5.080462	0.187049	5.080462	-0.107941	-4.002257	0.917578	4.002257	3.482966	
