kww	// User ID
12-2-2021	// Evaluation date
alex-pilot_04_35.9	11-2-2021	13:21:24:276	// Source file name and timestamp
238.095	// Sampling rate
4.481	// Data capture period

1.890237	// height
89.628650	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
0	2.286441	1.349647	169.688943	2.842452	-0.525904	-2.842452	3.397136	-1.600517	-0.284976	1.600517	2.297346	
1	1.971062	1.055729	164.090041	2.906586	-0.219702	-2.906586	1.611000	-0.091868	0.198799	0.091868	1.724136	
2	2.163249	1.137697	159.702995	3.467384	0.075610	-3.467384	0.860612	0.018066	0.120057	-0.018066	2.117291	
3	2.854961	1.621734	156.028317	3.207206	0.381073	-3.207206	1.354273	-0.437207	-0.702414	0.437207	3.601304	
4	2.929662	1.588480	153.027740	1.450268	0.836498	-1.450268	1.126890	-1.018263	-0.481148	1.018263	3.630600	
5	2.407492	1.099594	151.415787	-1.337426	1.205780	1.337426	0.594653	-2.520195	0.541675	2.520195	2.419000	
6	2.108425	0.705098	151.648312	-3.540730	1.260893	3.540730	0.276250	-3.676722	1.722705	3.676722	1.307696	
7	2.390206	0.727187	153.196420	-4.242277	1.110703	4.242277	0.583948	-2.978120	2.231852	2.978120	1.237790	
8	2.822672	1.107529	155.052839	-3.620946	0.836232	3.620946	2.191087	-1.983572	1.220117	1.983572	2.315025	
9	2.495188	0.964702	157.143157	-1.820122	0.525345	1.820122	2.556884	-1.224560	1.008891	1.224560	2.013193	
10	1.423840	-0.103719	160.275750	0.388280	0.270734	-0.388280	-0.510997	1.350918	3.662115	-1.350918	-1.031911	
11	0.686219	-1.044981	164.546833	2.927349	-0.063849	-2.927349	-4.117215	4.729235	6.539246	-4.729235	-3.843853	
12	0.627010	-1.119719	169.262313	6.174008	-0.539769	-6.174008	-5.237753	5.862871	6.904908	-5.862871	-4.120740	
13	0.771050	-0.798063	174.157591	8.918554	-0.967604	-8.918554	-4.790454	4.704150	5.853000	-4.704150	-3.134307	
14	0.989537	-0.515240	179.381227	10.116493	-1.214693	-10.116493	-4.478983	3.751151	5.052257	-3.751151	-2.276828	
15	1.322310	-0.134244	184.751606	9.976480	-1.275325	-9.976480	-3.807470	3.829313	3.936347	-3.829313	-1.144252	
16	1.603854	0.438772	189.967211	8.483496	-1.008345	-8.483496	-1.546029	2.905526	1.679908	-2.905526	0.707215	
17	1.817527	0.938877	195.121857	6.010764	-0.265060	-6.010764	1.410382	0.557287	-0.510263	-0.557287	2.449006	
18	2.090546	1.148956	200.394672	3.577530	0.669462	-3.577530	3.078951	-0.642318	-1.236743	0.642318	3.287139	
19	2.374325	1.289633	205.603163	2.348696	1.249547	-2.348696	3.655620	-0.382774	-1.467455	0.382774	3.808775	
20	2.351951	1.410800	210.623004	3.202593	1.287598	-3.202593	3.919598	-1.059837	-2.018202	1.059837	4.189555	
21	1.666158	0.890566	215.890721	5.047573	0.968675	-5.047573	2.252268	-1.815761	-0.975937	1.815761	2.818717	
22	0.630442	-0.281780	221.636706	6.435141	0.456524	-6.435141	-1.607089	-0.147823	2.086566	0.147823	-0.277138	
23	0.114655	-0.971411	226.964378	7.798213	-0.105918	-7.798213	-4.221694	2.239054	3.948365	-2.239054	-2.119044	
24	0.086577	-0.959314	230.858164	9.109638	-0.543975	-9.109638	-4.529986	3.109529	3.782111	-3.109529	-2.098790	
25	-0.316142	-1.388101	233.722919	8.998881	-0.738417	-8.998881	-5.528093	4.054363	4.652983	-4.054363	-3.239586	
26	-0.893892	-2.247613	236.702811	7.143634	-0.657481	-7.143634	-7.357962	5.854005	6.783114	-5.854005	-5.549650	
