kww	// User ID
12-2-2021	// Evaluation date
alex-pilot_05_38.6	11-2-2021	13:21:35:280	// Source file name and timestamp
238.095	// Sampling rate
4.332	// Data capture period

1.890237	// height
89.628650	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
48	1.339267	0.945848	161.928255	-3.359399	0.293919	3.359399	-0.462611	-1.798760	0.993016	1.798760	-0.953543	
49	1.494027	1.098094	162.981122	-2.870529	-0.793200	2.870529	0.733675	-2.374040	0.996367	2.374040	-1.082501	
50	1.529965	1.118696	164.202319	-2.295456	-1.573315	2.295456	1.750996	-3.057376	1.040605	3.057376	-1.262838	
51	1.412105	1.023805	165.749359	-2.088341	-2.044211	2.088341	2.495826	-3.743362	1.026186	3.743362	-1.358827	
52	1.016693	0.691940	167.991939	-2.695825	-2.108135	2.695825	2.766220	-4.112379	0.954162	4.112379	-1.297815	
53	0.528994	0.255122	171.033397	-4.136347	-1.848340	4.136347	2.550623	-4.124166	0.943161	4.124166	-1.211345	
54	0.304552	0.056623	174.529232	-5.687472	-1.531508	5.687472	2.146670	-3.775482	0.929108	3.775482	-1.150002	
55	0.274440	0.059371	178.134411	-6.702268	-1.272374	6.702268	1.756578	-3.045259	0.807441	3.045259	-1.006120	
56	0.165242	-0.021885	181.731633	-6.937526	-0.911178	6.937526	1.203764	-2.205637	0.714786	2.205637	-0.862208	
57	0.092055	-0.116385	185.154008	-6.205074	-0.306876	6.205074	0.245405	-1.211499	0.778355	1.211499	-0.923104	
58	0.230889	-0.032201	188.165071	-4.684420	0.358634	4.684420	-0.868257	0.005378	0.902074	-0.005378	-1.135057	
59	0.396101	0.096502	190.777246	-2.726761	0.847564	2.726761	-1.686908	0.548986	1.015221	-0.548986	-1.344795	
60	0.419943	0.091064	193.179636	-1.030798	1.128323	1.030798	-2.149905	0.023374	1.208501	-0.023374	-1.636560	
61	0.411368	0.031977	195.395499	-0.653959	1.117452	0.653959	-2.216294	-0.807081	1.491812	0.807081	-2.078633	
62	0.474294	0.073076	197.359812	-1.297180	0.735856	1.297180	-1.687524	-1.819669	1.638018	1.819669	-2.394827	
63	0.510239	0.166588	199.239138	-1.837743	0.224359	1.837743	-0.822394	-3.180996	1.512220	3.180996	-2.336029	
64	0.420289	0.158012	201.311196	-2.168637	-0.060278	2.168637	-0.265637	-4.073712	1.334319	4.073712	-2.147640	
65	0.406905	0.171566	203.519538	-2.331598	-0.076972	2.331598	-0.285646	-3.897929	1.301718	3.897929	-2.191123	
66	0.679660	0.421969	205.462189	-1.912562	-0.047064	1.912562	-0.552644	-3.319497	1.309830	3.319497	-2.464226	
67	0.959858	0.672803	206.894469	-1.127168	-0.011550	1.127168	-0.791211	-3.045818	1.318438	3.045818	-2.809482	
68	0.961335	0.661341	207.975819	-0.578257	0.171707	0.578257	-1.167712	-2.496463	1.349528	2.496463	-3.033275	
69	0.909769	0.629982	209.010816	-0.401958	0.319056	0.401958	-1.505122	-1.192661	1.157127	1.192661	-2.835536	
70	0.918763	0.687192	210.206569	-0.555577	0.117241	0.555577	-1.166875	-0.616487	0.749373	0.616487	-2.295566	
71	0.736246	0.534269	211.624298	-1.353650	-0.231375	1.353650	-0.261608	-1.793074	0.635589	1.793074	-1.993914	
72	0.431335	0.205412	213.165016	-3.229277	-0.407040	3.229277	0.456970	-2.753752	0.891144	2.753752	-2.158707	
73	0.357127	0.080633	214.589167	-5.628524	-0.521066	5.628524	0.740054	-2.031102	1.046174	2.031102	-2.444620	
74	0.496688	0.191063	215.592839	-6.987440	-0.680335	6.987440	0.848890	-1.589104	0.999231	1.589104	-2.651987	
75	0.541071	0.223624	215.984679	-6.803070	-0.724158	6.803070	0.930859	-3.012915	1.071609	3.012915	-2.978654	
76	0.456574	0.099471	215.825967	-6.475196	-0.626601	6.475196	1.008392	-4.492849	1.355925	4.492849	-3.598628	
77	0.527025	0.112648	215.312177	-6.519080	-0.693906	6.519080	1.248590	-4.531544	1.508942	4.531544	-4.169339	
78	0.810551	0.385360	214.644934	-5.839430	-1.014151	5.839430	1.596706	-4.071967	1.298352	4.071967	-4.164492	
79	1.014494	0.621194	214.174133	-3.740828	-1.115345	3.740828	1.462764	-3.897311	1.037085	3.897311	-3.839002	
80	1.068499	0.682261	214.425111	-1.168715	-0.775493	1.168715	0.552256	-3.260286	1.029436	3.260286	-3.862683	
81	1.191924	0.769434	215.717115	0.267926	-0.476100	-0.267926	-0.420120	-2.056827	1.168257	2.056827	-4.298153	
82	1.339231	0.875020	217.886644	0.169223	-0.592034	-0.169223	-0.491262	-2.067165	1.358973	2.067165	-4.864156	
83	1.317976	0.841068	220.641620	-0.386096	-0.933102	0.386096	0.346571	-3.882715	1.573263	3.882715	-5.271072	
84	1.206894	0.737126	224.058088	-0.606831	-1.134185	0.606831	1.050995	-5.192768	1.716637	5.192768	-5.396175	
85	1.137697	0.647408	228.383454	-0.743131	-0.962445	0.743131	0.724052	-4.483796	1.926417	4.483796	-5.712390	
86	1.131183	0.586560	233.500806	-0.701901	-0.532016	0.701901	-0.344588	-2.921548	2.293930	2.921548	-6.448968	
87	1.150060	0.573094	238.970222	-0.410144	-0.251987	0.410144	-1.114530	-1.950243	2.546384	1.950243	-6.955441	
88	1.041789	0.464387	244.408204	-0.706076	-0.158264	0.706076	-1.089634	-2.160765	2.692671	2.160765	-7.137651	
89	0.837512	0.213566	249.632439	-1.892498	0.108819	1.892498	-1.065880	-2.928774	3.143935	2.928774	-7.991456	
90	0.901869	0.142938	254.678591	-2.999852	0.435997	2.999852	-1.793449	-2.909179	3.845723	2.909179	-9.798570	
91	1.332885	0.439903	259.628034	-3.042403	0.231592	3.042403	-2.244039	-3.043007	4.198668	3.043007	-11.313524	
92	1.762283	0.854069	264.331206	-2.483077	-0.689147	2.483077	-0.888998	-5.552729	3.846141	5.552729	-11.284067	
93	1.990970	1.176897	268.632238	-2.948778	-1.893770	2.948778	1.870464	-8.642051	2.952682	8.642051	-9.774572	
94	2.209974	1.486571	272.819143	-4.226266	-2.849342	4.226266	3.943126	-8.073542	1.903300	8.073542	-7.850350	
95	2.503536	1.826266	277.335936	-4.209120	-3.405127	4.209120	4.540186	-4.492680	0.937493	4.492680	-6.179807	
96	2.585907	1.975277	282.166786	-2.677720	-3.662746	2.677720	4.974977	-2.788677	0.192214	2.788677	-4.659352	
97	2.257011	1.707338	286.996674	-1.954061	-3.480201	1.954061	5.586974	-4.145479	0.094476	4.145479	-4.007034	
98	1.884232	1.288721	291.593936	-3.164237	-3.019488	3.164237	5.700574	-5.465676	0.674350	5.465676	-4.903740	
99	1.890371	1.206361	295.628298	-4.249109	-2.930468	4.249109	5.685515	-6.167668	1.055812	6.167668	-5.841062	
100	2.013467	1.326380	298.728542	-3.129954	-3.093961	3.129954	5.757440	-8.008036	0.964594	8.008036	-5.658113	
101	1.908949	1.261911	300.870645	-1.106555	-2.925443	1.106555	5.408359	-10.129075	1.015228	10.129075	-5.458162	
102	1.890538	1.209120	302.232995	-0.286467	-2.623975	0.286467	4.509676	-9.873231	1.315003	9.873231	-5.999303	
103	2.122037	1.324719	302.883791	-0.895201	-2.411000	0.895201	3.309503	-7.489904	1.732764	7.489904	-7.107848	
104	2.096087	1.190833	302.862846	-2.208323	-1.889128	2.208323	2.108916	-6.621978	2.635951	6.621978	-9.066777	
105	1.702430	0.722513	302.323412	-3.203784	-1.010809	3.203784	0.860571	-7.824485	4.082651	7.824485	-11.938442	
106	1.573138	0.486691	301.466885	-3.183374	-0.375942	3.183374	-0.697976	-6.925387	5.359414	6.925387	-14.628637	
107	1.898631	0.706839	300.372366	-2.088623	-0.346733	2.088623	-1.943129	-3.855740	5.779160	3.855740	-15.717598	
108	2.139133	0.959139	299.066647	-0.156661	-0.592547	0.156661	-2.075383	-2.843260	5.467283	2.843260	-15.094572	
109	2.100023	0.988945	297.867175	1.135616	-0.716089	-1.135616	-1.616297	-3.388758	5.158673	3.388758	-14.257419	
110	2.168374	1.035522	297.306036	1.024597	-0.844068	-1.024597	-1.207865	-2.626209	5.015079	2.626209	-13.970786	
111	2.450545	1.274991	297.625396	1.345444	-1.244253	-1.345444	-0.380547	-1.860053	4.319092	1.860053	-12.886157	
112	2.565819	1.437408	298.793194	2.262106	-1.613510	-2.262106	0.841202	-2.552097	3.274858	2.552097	-10.930310	
113	2.384632	1.264428	300.896469	1.935948	-1.448135	-1.935948	1.090133	-2.714284	3.307025	2.714284	-10.627439	
114	2.306695	1.066674	303.943446	1.829443	-1.104844	-1.829443	0.264190	-1.317618	4.093200	1.317618	-11.830589	
115	2.487173	1.172245	307.563037	4.001216	-1.184865	-4.001216	0.177295	-0.867813	3.819326	0.867813	-11.397472	
116	2.473644	1.230504	311.484362	5.587324	-1.329054	-5.587324	1.115421	-3.242648	3.055565	3.242648	-9.685429	
117	2.103992	0.929803	315.916740	3.767284	-1.064749	-3.767284	1.507949	-6.202160	3.583092	6.202160	-9.566291	
118	1.905187	0.697910	320.987767	1.173814	-0.816575	-1.173814	1.275275	-6.822253	4.386501	6.822253	-10.140096	
119	2.163889	0.934508	326.214793	1.528914	-1.036540	-1.528914	1.871699	-6.211309	3.352926	6.211309	-8.430249	
120	2.502546	1.327376	330.992768	3.920633	-1.398501	-3.920633	3.444383	-6.793036	1.213972	6.793036	-5.171547	
121	2.593217	1.408558	335.351267	4.166965	-1.455174	-4.166965	4.444361	-7.519289	0.520368	7.519289	-3.829348	
122	2.561079	1.228494	339.738794	2.172274	-1.267291	-2.172274	4.138426	-6.759165	1.681633	6.759165	-4.969282	
123	2.570374	1.108706	344.310328	1.765481	-1.121590	-1.765481	3.447173	-5.334194	2.725072	5.334194	-5.864778	
124	2.484896	1.037049	349.017962	3.370544	-1.012617	-3.370544	2.908820	-4.378288	2.945483	4.378288	-5.485879	
125	2.194381	0.828157	354.040514	4.165463	-0.752569	-4.165463	2.062652	-3.908432	3.404786	3.908432	-5.245233	
126	1.969310	0.630994	359.498714	3.887697	-0.465935	-3.887697	0.836599	-3.345038	4.174621	3.345038	-5.428644	
127	2.071583	0.645766	365.124794	3.956949	-0.362655	-3.956949	-0.506057	-1.922457	4.738860	1.922457	-5.446758	
128	2.298849	0.715839	370.593599	4.275484	-0.344430	-4.275484	-1.757149	-0.194301	5.409701	0.194301	-5.556896	
129	2.303101	0.638075	375.841933	4.043184	-0.263535	-4.043184	-2.376198	0.273663	6.279537	-0.273663	-5.901777	
130	2.114215	0.443515	380.984617	3.019872	-0.126176	-3.019872	-2.535700	0.199893	7.341603	-0.199893	-6.520091	
131	2.055857	0.293002	386.081735	2.647465	-0.032899	-2.647465	-3.149275	1.125037	8.804326	-1.125037	-7.495245	
132	2.152815	0.278520	390.924787	5.281382	-0.106329	-5.281382	-3.801362	1.446582	9.800552	-1.446582	-7.927199	
133	1.965059	0.200974	395.223925	9.862271	-0.211873	-9.862271	-3.941482	-0.565749	9.915418	0.565749	-7.706060	
134	1.359025	-0.160412	399.020556	11.912179	-0.137117	-11.912179	-4.784314	-2.803099	10.682630	2.803099	-8.369181	
135	0.945340	-0.490781	402.369773	10.333615	-0.130909	-10.333615	-6.203402	-2.984187	12.033215	2.984187	-9.433313	
136	1.157287	-0.319128	404.754730	7.457511	-0.500314	-7.457511	-5.337048	-2.702260	11.128352	2.702260	-8.139290	
137	1.508719	0.142535	405.564681	4.430127	-0.822823	-4.430127	-1.441085	-4.353203	7.444418	4.353203	-4.514426	
138	1.426640	0.281532	404.900793	1.398556	-0.541711	-1.398556	1.569125	-6.400325	4.655877	6.400325	-2.110282	
139	1.161693	0.025120	403.265267	-1.100166	0.111808	1.100166	0.307680	-4.912429	5.217796	4.912429	-2.594401	
140	1.243313	-0.131037	400.781316	-1.110547	0.611229	1.110547	-3.123273	-0.026246	6.664538	0.026246	-3.396916	
141	1.704151	0.168089	397.145125	2.313081	0.835433	-2.313081	-3.770755	3.347289	5.189221	-3.347289	-1.545492	
142	2.180466	0.668773	392.202855	5.573650	0.955609	-5.573650	-1.287813	3.168697	1.639837	-3.168697	1.893534	
