pID,cond_int,effort,cond_stp,velo
p10,rpe,50,crow,76.3
p10,rpe,50,crow,75.4
p10,rpe,50,crow,76
p10,rpe,50,crow,77.1
p10,rpe,50,crow,75.3
p10,rpe,50,step,67
p10,rpe,50,step,71.9
p10,rpe,50,step,73.4
p10,rpe,50,step,74.3
p10,rpe,50,step,75.1
p10,rpe,75,crow,77.9
p10,rpe,75,crow,78.8
p10,rpe,75,crow,78.9
p10,rpe,75,crow,78.8
p10,rpe,75,crow,79.6
p10,rpe,75,step,73.4
p10,rpe,75,step,76.4
p10,rpe,75,step,77.9
p10,rpe,75,step,79.5
p10,rpe,75,step,77.8
p10,rpe,100,crow,NA
p10,rpe,100,crow,NA
p10,rpe,100,crow,NA
p10,rpe,100,crow,NA
p10,rpe,100,crow,NA
p10,rpe,100,step,NA
p10,rpe,100,step,NA
p10,rpe,100,step,NA
p10,rpe,100,step,NA
p10,rpe,100,step,NA
p10,velo,50,crow,NA
p10,velo,50,crow,NA
p10,velo,50,crow,NA
p10,velo,50,crow,NA
p10,velo,50,crow,NA
p10,velo,50,step,NA
p10,velo,50,step,NA
p10,velo,50,step,NA
p10,velo,50,step,NA
p10,velo,50,step,NA
p10,velo,75,crow,NA
p10,velo,75,crow,NA
p10,velo,75,crow,NA
p10,velo,75,crow,NA
p10,velo,75,crow,NA
p10,velo,75,step,NA
p10,velo,75,step,NA
p10,velo,75,step,NA
p10,velo,75,step,NA
p10,velo,75,step,NA
