pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p14,23,235.6,78,R,77.8,39.1,1,39.1
p14,23,235.6,78,R,77.8,39.1,2,39.9
p14,23,235.6,78,R,77.8,39.1,3,43.3
p14,23,235.6,78,R,77.8,39.1,4,43.4
p14,23,235.6,78,R,77.8,39.1,5,45
p14,23,235.6,78,R,77.8,39.1,6,48.6
p14,23,235.6,78,R,77.8,39.1,7,49.1
p14,23,235.6,78,R,77.8,39.1,8,51.7
p14,23,235.6,78,R,77.8,39.1,9,52.1
p14,23,235.6,78,R,77.8,39.1,10,56.1
p14,23,235.6,78,R,77.8,39.1,11,56.1
p14,23,235.6,78,R,77.8,39.1,12,55.1
p14,23,235.6,78,R,77.8,39.1,13,57
p14,23,235.6,78,R,77.8,39.1,14,61.4
p14,23,235.6,78,R,77.8,39.1,15,65.4
p14,23,235.6,78,R,77.8,39.1,16,66.1
p14,23,235.6,78,R,77.8,39.1,17,67.5
p14,23,235.6,78,R,77.8,39.1,18,68.3
p14,23,235.6,78,R,77.8,39.1,19,68
p14,23,235.6,78,R,77.8,39.1,20,69.1
p14,23,235.6,78,R,77.8,39.1,21,66.9
p14,23,235.6,78,R,77.8,39.1,22,65.8
p14,23,235.6,78,R,77.8,39.1,23,69.2
p14,23,235.6,78,R,77.8,39.1,24,69.8
p14,23,235.6,78,R,77.8,39.1,25,69.7
p14,23,235.6,78,R,77.8,39.1,26,70.6
p14,23,235.6,78,R,77.8,39.1,27,70.3
p14,23,235.6,78,R,77.8,39.1,28,71.1
p14,23,235.6,78,R,77.8,39.1,29,71.3
p14,23,235.6,78,R,77.8,39.1,30,71.5
p14,23,235.6,78,R,77.8,39.1,31,72.3
p14,23,235.6,78,R,77.8,39.1,32,72.6
p14,23,235.6,78,R,77.8,39.1,33,72.4
p14,23,235.6,78,R,77.8,39.1,34,73.3
p14,23,235.6,78,R,77.8,39.1,35,74.3
p14,23,235.6,78,R,77.8,39.1,36,74.4
p14,23,235.6,78,R,77.8,39.1,37,74.2
p14,23,235.6,78,R,77.8,39.1,38,74.3
p14,23,235.6,78,R,77.8,39.1,39,73.9
p14,23,235.6,78,R,77.8,39.1,40,75.1
p14,23,235.6,78,R,77.8,39.1,41,74.4
p14,23,235.6,78,R,77.8,39.1,42,75.1
p14,23,235.6,78,R,77.8,39.1,43,71.6
p14,23,235.6,78,R,77.8,39.1,44,74.8
p14,23,235.6,78,R,77.8,39.1,45,77.8
