pID,cond_int,effort,cond_stp,velo
p03,rpe,50,crow,48.1
p03,rpe,50,crow,53.7
p03,rpe,50,crow,49.7
p03,rpe,50,crow,53
p03,rpe,50,crow,52.3
p03,rpe,50,step,51.2
p03,rpe,50,step,49.9
p03,rpe,50,step,51.9
p03,rpe,50,step,52.4
p03,rpe,50,step,50.1
p03,rpe,75,crow,58.1
p03,rpe,75,crow,57.3
p03,rpe,75,crow,57.1
p03,rpe,75,crow,57.7
p03,rpe,75,crow,58.2
p03,rpe,75,step,55.4
p03,rpe,75,step,53.5
p03,rpe,75,step,55.3
p03,rpe,75,step,56.4
p03,rpe,75,step,57.8
p03,rpe,100,crow,74.3
p03,rpe,100,crow,73.6
p03,rpe,100,crow,73.9
p03,rpe,100,crow,72.4
p03,rpe,100,crow,71.8
p03,rpe,100,step,73.3
p03,rpe,100,step,74.3
p03,rpe,100,step,73.8
p03,rpe,100,step,72.7
p03,rpe,100,step,71.6
p03,velo,50,crow,38.3
p03,velo,50,crow,38.7
p03,velo,50,crow,37.3
p03,velo,50,crow,38.7
p03,velo,50,crow,37.3
p03,velo,50,step,39.1
p03,velo,50,step,39.1
p03,velo,50,step,39.9
p03,velo,50,step,37.6
p03,velo,50,step,39.2
p03,velo,75,crow,52.6
p03,velo,75,crow,53.3
p03,velo,75,crow,53.1
p03,velo,75,crow,55.1
p03,velo,75,crow,54.1
p03,velo,75,step,52.6
p03,velo,75,step,53.7
p03,velo,75,step,54.2
p03,velo,75,step,51.6
p03,velo,75,step,53.7
