pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p21,22,216.4,70,R,80.8,28.9,1,28.9
p21,22,216.4,70,R,80.8,28.9,2,34.6
p21,22,216.4,70,R,80.8,28.9,3,39.9
p21,22,216.4,70,R,80.8,28.9,4,42.2
p21,22,216.4,70,R,80.8,28.9,5,46.4
p21,22,216.4,70,R,80.8,28.9,6,49
p21,22,216.4,70,R,80.8,28.9,7,51.1
p21,22,216.4,70,R,80.8,28.9,8,53.2
p21,22,216.4,70,R,80.8,28.9,9,55.1
p21,22,216.4,70,R,80.8,28.9,10,61.1
p21,22,216.4,70,R,80.8,28.9,11,59.1
p21,22,216.4,70,R,80.8,28.9,12,60.9
p21,22,216.4,70,R,80.8,28.9,13,65
p21,22,216.4,70,R,80.8,28.9,14,70.2
p21,22,216.4,70,R,80.8,28.9,15,69.8
p21,22,216.4,70,R,80.8,28.9,16,70.9
p21,22,216.4,70,R,80.8,28.9,17,70.9
p21,22,216.4,70,R,80.8,28.9,18,70.3
p21,22,216.4,70,R,80.8,28.9,19,72.5
p21,22,216.4,70,R,80.8,28.9,20,71
p21,22,216.4,70,R,80.8,28.9,21,73.4
p21,22,216.4,70,R,80.8,28.9,22,68.9
p21,22,216.4,70,R,80.8,28.9,23,70.2
p21,22,216.4,70,R,80.8,28.9,24,69.9
p21,22,216.4,70,R,80.8,28.9,25,74.3
p21,22,216.4,70,R,80.8,28.9,26,77.2
p21,22,216.4,70,R,80.8,28.9,27,80.8
p21,22,216.4,70,R,80.8,28.9,28,77.8
p21,22,216.4,70,R,80.8,28.9,29,78.4
p21,22,216.4,70,R,80.8,28.9,30,76.4
