pID,cond_int,effort,cond_stp,velo
p35,rpe,50,crow,62.7
p35,rpe,50,crow,63.9
p35,rpe,50,crow,62.9
p35,rpe,50,crow,NA
p35,rpe,50,crow,NA
p35,rpe,50,step,68.1
p35,rpe,50,step,70.8
p35,rpe,50,step,65.1
p35,rpe,50,step,NA
p35,rpe,50,step,NA
p35,rpe,75,crow,70.4
p35,rpe,75,crow,71.4
p35,rpe,75,crow,70.5
p35,rpe,75,crow,NA
p35,rpe,75,crow,NA
p35,rpe,75,step,70.7
p35,rpe,75,step,70.9
p35,rpe,75,step,70
p35,rpe,75,step,NA
p35,rpe,75,step,NA
p35,rpe,100,crow,78.6
p35,rpe,100,crow,78.3
p35,rpe,100,crow,77.7
p35,rpe,100,crow,NA
p35,rpe,100,crow,NA
p35,rpe,100,step,77.1
p35,rpe,100,step,77.7
p35,rpe,100,step,76.6
p35,rpe,100,step,NA
p35,rpe,100,step,NA
p35,velo,50,crow,NA
p35,velo,50,crow,NA
p35,velo,50,crow,NA
p35,velo,50,crow,NA
p35,velo,50,crow,NA
p35,velo,50,step,NA
p35,velo,50,step,NA
p35,velo,50,step,NA
p35,velo,50,step,NA
p35,velo,50,step,NA
p35,velo,75,crow,NA
p35,velo,75,crow,NA
p35,velo,75,crow,NA
p35,velo,75,crow,NA
p35,velo,75,crow,NA
p35,velo,75,step,NA
p35,velo,75,step,NA
p35,velo,75,step,NA
p35,velo,75,step,NA
p35,velo,75,step,NA
