pID,cond_int,effort,cond_stp,velo
p26,rpe,50,crow,73.3
p26,rpe,50,crow,69.7
p26,rpe,50,crow,70.4
p26,rpe,50,crow,NA
p26,rpe,50,crow,NA
p26,rpe,50,step,73.1
p26,rpe,50,step,71.8
p26,rpe,50,step,69.9
p26,rpe,50,step,NA
p26,rpe,50,step,NA
p26,rpe,75,crow,76.4
p26,rpe,75,crow,74.9
p26,rpe,75,crow,74.9
p26,rpe,75,crow,NA
p26,rpe,75,crow,NA
p26,rpe,75,step,74.1
p26,rpe,75,step,71.6
p26,rpe,75,step,73.1
p26,rpe,75,step,NA
p26,rpe,75,step,NA
p26,rpe,100,crow,82.6
p26,rpe,100,crow,83.4
p26,rpe,100,crow,84.8
p26,rpe,100,crow,NA
p26,rpe,100,crow,NA
p26,rpe,100,step,81.1
p26,rpe,100,step,80.2
p26,rpe,100,step,80.4
p26,rpe,100,step,NA
p26,rpe,100,step,NA
p26,velo,50,crow,NA
p26,velo,50,crow,NA
p26,velo,50,crow,NA
p26,velo,50,crow,NA
p26,velo,50,crow,NA
p26,velo,50,step,NA
p26,velo,50,step,NA
p26,velo,50,step,NA
p26,velo,50,step,NA
p26,velo,50,step,NA
p26,velo,75,crow,NA
p26,velo,75,crow,NA
p26,velo,75,crow,NA
p26,velo,75,crow,NA
p26,velo,75,crow,NA
p26,velo,75,step,NA
p26,velo,75,step,NA
p26,velo,75,step,NA
p26,velo,75,step,NA
p26,velo,75,step,NA
