pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p19,20,213.4,80,L,75.3,34.8,1,34.8
p19,20,213.4,80,L,75.3,34.8,2,36.5
p19,20,213.4,80,L,75.3,34.8,3,36.9
p19,20,213.4,80,L,75.3,34.8,4,38.3
p19,20,213.4,80,L,75.3,34.8,5,41.1
p19,20,213.4,80,L,75.3,34.8,6,46.2
p19,20,213.4,80,L,75.3,34.8,7,48.5
p19,20,213.4,80,L,75.3,34.8,8,48.3
p19,20,213.4,80,L,75.3,34.8,9,50.4
p19,20,213.4,80,L,75.3,34.8,10,50.8
p19,20,213.4,80,L,75.3,34.8,11,53.5
p19,20,213.4,80,L,75.3,34.8,12,54.4
p19,20,213.4,80,L,75.3,34.8,13,58.1
p19,20,213.4,80,L,75.3,34.8,14,60.8
p19,20,213.4,80,L,75.3,34.8,15,64.3
p19,20,213.4,80,L,75.3,34.8,16,63.8
p19,20,213.4,80,L,75.3,34.8,17,64.3
p19,20,213.4,80,L,75.3,34.8,18,63.6
p19,20,213.4,80,L,75.3,34.8,19,63.6
p19,20,213.4,80,L,75.3,34.8,20,67.1
p19,20,213.4,80,L,75.3,34.8,21,64.6
p19,20,213.4,80,L,75.3,34.8,22,69.2
p19,20,213.4,80,L,75.3,34.8,23,65.1
p19,20,213.4,80,L,75.3,34.8,24,70.6
p19,20,213.4,80,L,75.3,34.8,25,70.3
p19,20,213.4,80,L,75.3,34.8,26,71.1
p19,20,213.4,80,L,75.3,34.8,27,71.6
p19,20,213.4,80,L,75.3,34.8,28,71.3
p19,20,213.4,80,L,75.3,34.8,29,72.6
p19,20,213.4,80,L,75.3,34.8,30,74.4
p19,20,213.4,80,L,75.3,34.8,31,75.3
p19,20,213.4,80,L,75.3,34.8,32,74.8
p19,20,213.4,80,L,75.3,34.8,33,71.8
p19,20,213.4,80,L,75.3,34.8,34,73
p19,20,213.4,80,L,75.3,34.8,35,70.3
p19,20,213.4,80,L,75.3,34.8,36,74.5
p19,20,213.4,80,L,75.3,34.8,37,75.2
p19,20,213.4,80,L,75.3,34.8,38,74.6
p19,20,213.4,80,L,75.3,34.8,39,74.3
p19,20,213.4,80,L,75.3,34.8,40,74.2
p19,20,213.4,80,L,75.3,34.8,41,70.8
p19,20,213.4,80,L,75.3,34.8,42,72.3
