pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p25,22,193.2,74,R,80.3,28.3,1,28.3
p25,22,193.2,74,R,80.3,28.3,2,29.8
p25,22,193.2,74,R,80.3,28.3,3,30.8
p25,22,193.2,74,R,80.3,28.3,4,33.1
p25,22,193.2,74,R,80.3,28.3,5,36.8
p25,22,193.2,74,R,80.3,28.3,6,40.9
p25,22,193.2,74,R,80.3,28.3,7,46.3
p25,22,193.2,74,R,80.3,28.3,8,47.7
p25,22,193.2,74,R,80.3,28.3,9,55.3
p25,22,193.2,74,R,80.3,28.3,10,59.3
p25,22,193.2,74,R,80.3,28.3,11,61.4
p25,22,193.2,74,R,80.3,28.3,12,62.3
p25,22,193.2,74,R,80.3,28.3,13,67.4
p25,22,193.2,74,R,80.3,28.3,14,68.6
p25,22,193.2,74,R,80.3,28.3,15,70.9
p25,22,193.2,74,R,80.3,28.3,16,73.3
p25,22,193.2,74,R,80.3,28.3,17,72.7
p25,22,193.2,74,R,80.3,28.3,18,73.4
p25,22,193.2,74,R,80.3,28.3,19,75.2
p25,22,193.2,74,R,80.3,28.3,20,74.6
p25,22,193.2,74,R,80.3,28.3,21,76.3
p25,22,193.2,74,R,80.3,28.3,22,75.1
p25,22,193.2,74,R,80.3,28.3,23,76.3
p25,22,193.2,74,R,80.3,28.3,24,76.9
p25,22,193.2,74,R,80.3,28.3,25,78.1
p25,22,193.2,74,R,80.3,28.3,26,77.1
p25,22,193.2,74,R,80.3,28.3,27,76.3
p25,22,193.2,74,R,80.3,28.3,28,77.1
p25,22,193.2,74,R,80.3,28.3,29,77.9
p25,22,193.2,74,R,80.3,28.3,30,78.9
p25,22,193.2,74,R,80.3,28.3,31,78.9
p25,22,193.2,74,R,80.3,28.3,32,77.8
p25,22,193.2,74,R,80.3,28.3,33,78.2
p25,22,193.2,74,R,80.3,28.3,34,78.8
p25,22,193.2,74,R,80.3,28.3,35,77.6
p25,22,193.2,74,R,80.3,28.3,36,79.1
p25,22,193.2,74,R,80.3,28.3,37,75.6
p25,22,193.2,74,R,80.3,28.3,38,76.3
p25,22,193.2,74,R,80.3,28.3,39,76.4
p25,22,193.2,74,R,80.3,28.3,40,80.3
