pID,cond_int,effort,cond_stp,velo
p20,rpe,50,crow,NA
p20,rpe,50,crow,NA
p20,rpe,50,crow,NA
p20,rpe,50,crow,NA
p20,rpe,50,crow,NA
p20,rpe,50,step,NA
p20,rpe,50,step,NA
p20,rpe,50,step,NA
p20,rpe,50,step,NA
p20,rpe,50,step,NA
p20,rpe,75,crow,NA
p20,rpe,75,crow,NA
p20,rpe,75,crow,NA
p20,rpe,75,crow,NA
p20,rpe,75,crow,NA
p20,rpe,75,step,NA
p20,rpe,75,step,NA
p20,rpe,75,step,NA
p20,rpe,75,step,NA
p20,rpe,75,step,NA
p20,rpe,100,crow,NA
p20,rpe,100,crow,NA
p20,rpe,100,crow,NA
p20,rpe,100,crow,NA
p20,rpe,100,crow,NA
p20,rpe,100,step,NA
p20,rpe,100,step,NA
p20,rpe,100,step,NA
p20,rpe,100,step,NA
p20,rpe,100,step,NA
p20,velo,50,crow,NA
p20,velo,50,crow,NA
p20,velo,50,crow,NA
p20,velo,50,crow,NA
p20,velo,50,crow,NA
p20,velo,50,step,NA
p20,velo,50,step,NA
p20,velo,50,step,NA
p20,velo,50,step,NA
p20,velo,50,step,NA
p20,velo,75,crow,NA
p20,velo,75,crow,NA
p20,velo,75,crow,NA
p20,velo,75,crow,NA
p20,velo,75,crow,NA
p20,velo,75,step,NA
p20,velo,75,step,NA
p20,velo,75,step,NA
p20,velo,75,step,NA
p20,velo,75,step,NA
