pID,cond_int,effort,cond_stp,velo
p07,rpe,50,crow,51.5
p07,rpe,50,crow,54.6
p07,rpe,50,crow,55.8
p07,rpe,50,crow,54.4
p07,rpe,50,crow,55.9
p07,rpe,50,step,42.9
p07,rpe,50,step,52.4
p07,rpe,50,step,49.7
p07,rpe,50,step,49.6
p07,rpe,50,step,49.3
p07,rpe,75,crow,69.9
p07,rpe,75,crow,68.4
p07,rpe,75,crow,68.9
p07,rpe,75,crow,71.4
p07,rpe,75,crow,70.2
p07,rpe,75,step,66.1
p07,rpe,75,step,64.8
p07,rpe,75,step,64.2
p07,rpe,75,step,66.6
p07,rpe,75,step,67.3
p07,rpe,100,crow,81.6
p07,rpe,100,crow,79.3
p07,rpe,100,crow,79.4
p07,rpe,100,crow,83.4
p07,rpe,100,crow,79.6
p07,rpe,100,step,77.9
p07,rpe,100,step,77.6
p07,rpe,100,step,79.3
p07,rpe,100,step,78.4
p07,rpe,100,step,78.9
p07,velo,50,crow,41.6
p07,velo,50,crow,40.6
p07,velo,50,crow,41.1
p07,velo,50,crow,40
p07,velo,50,crow,41.6
p07,velo,50,step,39.1
p07,velo,50,step,42.7
p07,velo,50,step,42.9
p07,velo,50,step,42.6
p07,velo,50,step,41.9
p07,velo,75,crow,62.4
p07,velo,75,crow,61.1
p07,velo,75,crow,58.8
p07,velo,75,crow,61.6
p07,velo,75,crow,60.9
p07,velo,75,step,56.5
p07,velo,75,step,60.4
p07,velo,75,step,59.1
p07,velo,75,step,56.3
p07,velo,75,step,58.9
