pID,cond_int,effort,cond_stp,velo
p16,rpe,50,crow,60.8
p16,rpe,50,crow,62.5
p16,rpe,50,crow,63.4
p16,rpe,50,crow,61.2
p16,rpe,50,crow,59.9
p16,rpe,50,step,61.4
p16,rpe,50,step,62.3
p16,rpe,50,step,63.6
p16,rpe,50,step,61.9
p16,rpe,50,step,59.5
p16,rpe,75,crow,68.1
p16,rpe,75,crow,65.2
p16,rpe,75,crow,65.3
p16,rpe,75,crow,63.3
p16,rpe,75,crow,65.4
p16,rpe,75,step,67.5
p16,rpe,75,step,66.8
p16,rpe,75,step,67.1
p16,rpe,75,step,62.8
p16,rpe,75,step,64.6
p16,rpe,100,crow,80.9
p16,rpe,100,crow,80.8
p16,rpe,100,crow,79.9
p16,rpe,100,crow,79.8
p16,rpe,100,crow,80.3
p16,rpe,100,step,76.4
p16,rpe,100,step,74.5
p16,rpe,100,step,77
p16,rpe,100,step,76.7
p16,rpe,100,step,76.1
p16,velo,50,crow,40.8
p16,velo,50,crow,40.6
p16,velo,50,crow,39.5
p16,velo,50,crow,40.8
p16,velo,50,crow,41.1
p16,velo,50,step,41.1
p16,velo,50,step,39.8
p16,velo,50,step,40.5
p16,velo,50,step,40.1
p16,velo,50,step,41.8
p16,velo,75,crow,57.8
p16,velo,75,crow,57.1
p16,velo,75,crow,59.5
p16,velo,75,crow,59.7
p16,velo,75,crow,58.6
p16,velo,75,step,54.1
p16,velo,75,step,54.9
p16,velo,75,step,57.8
p16,velo,75,step,59.2
p16,velo,75,step,57.4
