pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p30,22,183.2,73,R,82.3,37.1,1,NA
p30,22,183.2,73,R,82.3,37.1,2,67.8
p30,22,183.2,73,R,82.3,37.1,3,38.9
p30,22,183.2,73,R,82.3,37.1,4,37.1
p30,22,183.2,73,R,82.3,37.1,5,56
p30,22,183.2,73,R,82.3,37.1,6,60.6
p30,22,183.2,73,R,82.3,37.1,7,58.1
p30,22,183.2,73,R,82.3,37.1,8,61.2
p30,22,183.2,73,R,82.3,37.1,9,67.1
p30,22,183.2,73,R,82.3,37.1,10,67.9
p30,22,183.2,73,R,82.3,37.1,11,64
p30,22,183.2,73,R,82.3,37.1,12,70.4
p30,22,183.2,73,R,82.3,37.1,13,71.8
p30,22,183.2,73,R,82.3,37.1,14,73.6
p30,22,183.2,73,R,82.3,37.1,15,72.9
p30,22,183.2,73,R,82.3,37.1,16,76.8
p30,22,183.2,73,R,82.3,37.1,17,76.4
p30,22,183.2,73,R,82.3,37.1,18,78.8
p30,22,183.2,73,R,82.3,37.1,19,77.7
p30,22,183.2,73,R,82.3,37.1,20,78.7
p30,22,183.2,73,R,82.3,37.1,21,77.8
p30,22,183.2,73,R,82.3,37.1,22,79.1
p30,22,183.2,73,R,82.3,37.1,23,80.8
p30,22,183.2,73,R,82.3,37.1,24,81.4
p30,22,183.2,73,R,82.3,37.1,25,81.7
p30,22,183.2,73,R,82.3,37.1,26,82.3
p30,22,183.2,73,R,82.3,37.1,27,82.1
