pID,cond_int,effort,cond_stp,velo
p21,rpe,50,crow,71.1
p21,rpe,50,crow,68.8
p21,rpe,50,crow,70.3
p21,rpe,50,crow,70.6
p21,rpe,50,crow,68.3
p21,rpe,50,step,64.6
p21,rpe,50,step,66.9
p21,rpe,50,step,66.3
p21,rpe,50,step,67.8
p21,rpe,50,step,67.5
p21,rpe,75,crow,76.3
p21,rpe,75,crow,75.7
p21,rpe,75,crow,74.4
p21,rpe,75,crow,73.5
p21,rpe,75,crow,76.3
p21,rpe,75,step,70.6
p21,rpe,75,step,69.9
p21,rpe,75,step,71.5
p21,rpe,75,step,70.2
p21,rpe,75,step,69.9
p21,rpe,100,crow,82.7
p21,rpe,100,crow,82.6
p21,rpe,100,crow,82.9
p21,rpe,100,crow,82.6
p21,rpe,100,crow,83.9
p21,rpe,100,step,74.6
p21,rpe,100,step,77.6
p21,rpe,100,step,76.9
p21,rpe,100,step,77.8
p21,rpe,100,step,78.5
p21,velo,50,crow,NA
p21,velo,50,crow,NA
p21,velo,50,crow,NA
p21,velo,50,crow,NA
p21,velo,50,crow,NA
p21,velo,50,step,NA
p21,velo,50,step,NA
p21,velo,50,step,NA
p21,velo,50,step,NA
p21,velo,50,step,NA
p21,velo,75,crow,NA
p21,velo,75,crow,NA
p21,velo,75,crow,NA
p21,velo,75,crow,NA
p21,velo,75,crow,NA
p21,velo,75,step,NA
p21,velo,75,step,NA
p21,velo,75,step,NA
p21,velo,75,step,NA
p21,velo,75,step,NA
