pID,cond_int,effort,cond_stp,velo
p32,rpe,50,crow,NA
p32,rpe,50,crow,NA
p32,rpe,50,crow,NA
p32,rpe,50,crow,NA
p32,rpe,50,crow,NA
p32,rpe,50,step,NA
p32,rpe,50,step,NA
p32,rpe,50,step,NA
p32,rpe,50,step,NA
p32,rpe,50,step,NA
p32,rpe,75,crow,NA
p32,rpe,75,crow,NA
p32,rpe,75,crow,NA
p32,rpe,75,crow,NA
p32,rpe,75,crow,NA
p32,rpe,75,step,NA
p32,rpe,75,step,NA
p32,rpe,75,step,NA
p32,rpe,75,step,NA
p32,rpe,75,step,NA
p32,rpe,100,crow,NA
p32,rpe,100,crow,NA
p32,rpe,100,crow,NA
p32,rpe,100,crow,NA
p32,rpe,100,crow,NA
p32,rpe,100,step,NA
p32,rpe,100,step,NA
p32,rpe,100,step,NA
p32,rpe,100,step,NA
p32,rpe,100,step,NA
p32,velo,50,crow,NA
p32,velo,50,crow,NA
p32,velo,50,crow,NA
p32,velo,50,crow,NA
p32,velo,50,crow,NA
p32,velo,50,step,NA
p32,velo,50,step,NA
p32,velo,50,step,NA
p32,velo,50,step,NA
p32,velo,50,step,NA
p32,velo,75,crow,NA
p32,velo,75,crow,NA
p32,velo,75,crow,NA
p32,velo,75,crow,NA
p32,velo,75,crow,NA
p32,velo,75,step,NA
p32,velo,75,step,NA
p32,velo,75,step,NA
p32,velo,75,step,NA
p32,velo,75,step,NA
