pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p18,20,216.4,75,R,85.1,30,1,30
p18,20,216.4,75,R,85.1,30,2,32.6
p18,20,216.4,75,R,85.1,30,3,36
p18,20,216.4,75,R,85.1,30,4,38.9
p18,20,216.4,75,R,85.1,30,5,NA
p18,20,216.4,75,R,85.1,30,6,42.3
p18,20,216.4,75,R,85.1,30,7,47.2
p18,20,216.4,75,R,85.1,30,8,48.6
p18,20,216.4,75,R,85.1,30,9,52.6
p18,20,216.4,75,R,85.1,30,10,49.3
p18,20,216.4,75,R,85.1,30,11,54.8
p18,20,216.4,75,R,85.1,30,12,63.6
p18,20,216.4,75,R,85.1,30,13,70.6
p18,20,216.4,75,R,85.1,30,14,72.4
p18,20,216.4,75,R,85.1,30,15,75.4
p18,20,216.4,75,R,85.1,30,16,74.5
p18,20,216.4,75,R,85.1,30,17,77.9
p18,20,216.4,75,R,85.1,30,18,78.9
p18,20,216.4,75,R,85.1,30,19,81.8
p18,20,216.4,75,R,85.1,30,20,80.5
p18,20,216.4,75,R,85.1,30,21,79.7
p18,20,216.4,75,R,85.1,30,22,84.1
p18,20,216.4,75,R,85.1,30,23,82.5
p18,20,216.4,75,R,85.1,30,24,84.1
p18,20,216.4,75,R,85.1,30,25,83.1
p18,20,216.4,75,R,85.1,30,26,82
p18,20,216.4,75,R,85.1,30,27,83.8
p18,20,216.4,75,R,85.1,30,28,85.1
p18,20,216.4,75,R,85.1,30,29,84.6
