pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p27,20,176.8,70,L,77.9,33.3,1,33.3
p27,20,176.8,70,L,77.9,33.3,2,37.5
p27,20,176.8,70,L,77.9,33.3,3,39.9
p27,20,176.8,70,L,77.9,33.3,4,47.8
p27,20,176.8,70,L,77.9,33.3,5,50.5
p27,20,176.8,70,L,77.9,33.3,6,50.6
p27,20,176.8,70,L,77.9,33.3,7,61.8
p27,20,176.8,70,L,77.9,33.3,8,58.6
p27,20,176.8,70,L,77.9,33.3,9,71.8
p27,20,176.8,70,L,77.9,33.3,10,71.6
p27,20,176.8,70,L,77.9,33.3,11,72.5
p27,20,176.8,70,L,77.9,33.3,12,72.5
p27,20,176.8,70,L,77.9,33.3,13,74.1
p27,20,176.8,70,L,77.9,33.3,14,74.1
p27,20,176.8,70,L,77.9,33.3,15,72.1
p27,20,176.8,70,L,77.9,33.3,16,73.8
p27,20,176.8,70,L,77.9,33.3,17,73
p27,20,176.8,70,L,77.9,33.3,18,70.6
p27,20,176.8,70,L,77.9,33.3,19,75.1
p27,20,176.8,70,L,77.9,33.3,20,74.4
p27,20,176.8,70,L,77.9,33.3,21,74.3
p27,20,176.8,70,L,77.9,33.3,22,73.5
p27,20,176.8,70,L,77.9,33.3,23,77.5
p27,20,176.8,70,L,77.9,33.3,24,77.9
