pID,cond_int,effort,cond_stp,velo
p23,rpe,50,crow,64.3
p23,rpe,50,crow,66.3
p23,rpe,50,crow,65.1
p23,rpe,50,crow,64.3
p23,rpe,50,crow,62.2
p23,rpe,50,step,60.8
p23,rpe,50,step,59.8
p23,rpe,50,step,63.3
p23,rpe,50,step,61.3
p23,rpe,50,step,59.6
p23,rpe,75,crow,78.1
p23,rpe,75,crow,76.9
p23,rpe,75,crow,77
p23,rpe,75,crow,75.5
p23,rpe,75,crow,76.3
p23,rpe,75,step,72.3
p23,rpe,75,step,71.6
p23,rpe,75,step,73.3
p23,rpe,75,step,71.2
p23,rpe,75,step,69.9
p23,rpe,100,crow,84.9
p23,rpe,100,crow,82.8
p23,rpe,100,crow,81.8
p23,rpe,100,crow,82.8
p23,rpe,100,crow,82.3
p23,rpe,100,step,80.4
p23,rpe,100,step,80.83
p23,rpe,100,step,81.6
p23,rpe,100,step,82.9
p23,rpe,100,step,80.6
p23,velo,50,crow,44.9
p23,velo,50,crow,43.6
p23,velo,50,crow,38.5
p23,velo,50,crow,39.9
p23,velo,50,crow,41.6
p23,velo,50,step,41.2
p23,velo,50,step,41.3
p23,velo,50,step,41.1
p23,velo,50,step,42
p23,velo,50,step,40.2
p23,velo,75,crow,62.7
p23,velo,75,crow,64.1
p23,velo,75,crow,62.4
p23,velo,75,crow,58.3
p23,velo,75,crow,63.3
p23,velo,75,step,59.6
p23,velo,75,step,58
p23,velo,75,step,59.4
p23,velo,75,step,59.8
p23,velo,75,step,62.4
