pID,cond_int,effort,cond_stp,velo
p18,rpe,50,crow,60.6
p18,rpe,50,crow,62.2
p18,rpe,50,crow,63.3
p18,rpe,50,crow,65.9
p18,rpe,50,crow,64.2
p18,rpe,50,step,65.4
p18,rpe,50,step,66.9
p18,rpe,50,step,68.8
p18,rpe,50,step,65.8
p18,rpe,50,step,64.2
p18,rpe,75,crow,71.3
p18,rpe,75,crow,74.4
p18,rpe,75,crow,71.6
p18,rpe,75,crow,75.3
p18,rpe,75,crow,77
p18,rpe,75,step,71.6
p18,rpe,75,step,73.1
p18,rpe,75,step,71.8
p18,rpe,75,step,73.2
p18,rpe,75,step,75
p18,rpe,100,crow,87.8
p18,rpe,100,crow,86.8
p18,rpe,100,crow,80.6
p18,rpe,100,crow,84.9
p18,rpe,100,crow,81.6
p18,rpe,100,step,85
p18,rpe,100,step,84.2
p18,rpe,100,step,83.9
p18,rpe,100,step,83.5
p18,rpe,100,step,81.8
p18,velo,50,crow,39.5
p18,velo,50,crow,42.9
p18,velo,50,crow,41.2
p18,velo,50,crow,43.3
p18,velo,50,crow,40.3
p18,velo,50,step,45
p18,velo,50,step,45.3
p18,velo,50,step,43.1
p18,velo,50,step,40.1
p18,velo,50,step,41.9
p18,velo,75,crow,62.5
p18,velo,75,crow,60.9
p18,velo,75,crow,62.3
p18,velo,75,crow,62.4
p18,velo,75,crow,66.1
p18,velo,75,step,59.4
p18,velo,75,step,61.1
p18,velo,75,step,60.4
p18,velo,75,step,62.9
p18,velo,75,step,63.2
