pID,cond_int,effort,cond_stp,velo
p19,rpe,50,crow,61.9
p19,rpe,50,crow,65.4
p19,rpe,50,crow,69.5
p19,rpe,50,crow,65.4
p19,rpe,50,crow,64.6
p19,rpe,50,step,65.9
p19,rpe,50,step,64.2
p19,rpe,50,step,66.2
p19,rpe,50,step,65
p19,rpe,50,step,63.7
p19,rpe,75,crow,74.1
p19,rpe,75,crow,70.6
p19,rpe,75,crow,72.8
p19,rpe,75,crow,73.5
p19,rpe,75,crow,69.3
p19,rpe,75,step,72
p19,rpe,75,step,74.9
p19,rpe,75,step,68.9
p19,rpe,75,step,72.9
p19,rpe,75,step,74.1
p19,rpe,100,crow,86.3
p19,rpe,100,crow,84.4
p19,rpe,100,crow,84.1
p19,rpe,100,crow,84.3
p19,rpe,100,crow,83.9
p19,rpe,100,step,83.6
p19,rpe,100,step,82.3
p19,rpe,100,step,84.7
p19,rpe,100,step,85.5
p19,rpe,100,step,84.1
p19,velo,50,crow,41.9
p19,velo,50,crow,43.6
p19,velo,50,crow,44.4
p19,velo,50,crow,43.4
p19,velo,50,crow,44.1
p19,velo,50,step,44.1
p19,velo,50,step,41.2
p19,velo,50,step,45.4
p19,velo,50,step,44.3
p19,velo,50,step,39.1
p19,velo,75,crow,60.8
p19,velo,75,crow,61
p19,velo,75,crow,59.4
p19,velo,75,crow,60.9
p19,velo,75,crow,64.6
p19,velo,75,step,63.3
p19,velo,75,step,60.4
p19,velo,75,step,61.7
p19,velo,75,step,63.2
p19,velo,75,step,59.9
