pID,cond_int,effort,cond_stp,velo
p13,rpe,50,crow,56.9
p13,rpe,50,crow,54.8
p13,rpe,50,crow,53.5
p13,rpe,50,crow,54.8
p13,rpe,50,crow,55.9
p13,rpe,50,step,55.6
p13,rpe,50,step,54.1
p13,rpe,50,step,57.4
p13,rpe,50,step,58.3
p13,rpe,50,step,57.2
p13,rpe,75,crow,63.3
p13,rpe,75,crow,61.3
p13,rpe,75,crow,61.3
p13,rpe,75,crow,60.9
p13,rpe,75,crow,61.9
p13,rpe,75,step,59.3
p13,rpe,75,step,64.3
p13,rpe,75,step,64.6
p13,rpe,75,step,62.3
p13,rpe,75,step,61.4
p13,rpe,100,crow,71.4
p13,rpe,100,crow,72.1
p13,rpe,100,crow,70.6
p13,rpe,100,crow,70.8
p13,rpe,100,crow,69.8
p13,rpe,100,step,68.4
p13,rpe,100,step,67.7
p13,rpe,100,step,69.4
p13,rpe,100,step,70.6
p13,rpe,100,step,70
p13,velo,50,crow,32.7
p13,velo,50,crow,36
p13,velo,50,crow,36.3
p13,velo,50,crow,36.9
p13,velo,50,crow,35.3
p13,velo,50,step,34.5
p13,velo,50,step,38.3
p13,velo,50,step,38
p13,velo,50,step,35.1
p13,velo,50,step,35
p13,velo,75,crow,53.3
p13,velo,75,crow,51.7
p13,velo,75,crow,51.8
p13,velo,75,crow,53.8
p13,velo,75,crow,52.8
p13,velo,75,step,51.3
p13,velo,75,step,51.8
p13,velo,75,step,52.5
p13,velo,75,step,51.8
p13,velo,75,step,52.6
