pID,cond_int,effort,cond_stp,velo
p05,rpe,50,crow,58.8
p05,rpe,50,crow,64.2
p05,rpe,50,crow,65.3
p05,rpe,50,crow,66.8
p05,rpe,50,crow,65.3
p05,rpe,50,step,62.6
p05,rpe,50,step,60.9
p05,rpe,50,step,59.9
p05,rpe,50,step,61.9
p05,rpe,50,step,61.6
p05,rpe,75,crow,68.9
p05,rpe,75,crow,69.9
p05,rpe,75,crow,72.8
p05,rpe,75,crow,72.4
p05,rpe,75,crow,72.5
p05,rpe,75,step,69.5
p05,rpe,75,step,68.2
p05,rpe,75,step,68
p05,rpe,75,step,67.6
p05,rpe,75,step,68.6
p05,rpe,100,crow,80.9
p05,rpe,100,crow,80.2
p05,rpe,100,crow,80.1
p05,rpe,100,crow,77.9
p05,rpe,100,crow,79.3
p05,rpe,100,step,76.2
p05,rpe,100,step,76.6
p05,rpe,100,step,77.2
p05,rpe,100,step,77.5
p05,rpe,100,step,77.8
p05,velo,50,crow,40
p05,velo,50,crow,38.8
p05,velo,50,crow,40.3
p05,velo,50,crow,39.1
p05,velo,50,crow,40.1
p05,velo,50,step,40.1
p05,velo,50,step,36.9
p05,velo,50,step,37.1
p05,velo,50,step,40.1
p05,velo,50,step,38.8
p05,velo,75,crow,56.1
p05,velo,75,crow,56.3
p05,velo,75,crow,58.9
p05,velo,75,crow,55.3
p05,velo,75,crow,54.6
p05,velo,75,step,54.3
p05,velo,75,step,56.4
p05,velo,75,step,55.2
p05,velo,75,step,57.4
p05,velo,75,step,55.8
