"","Throw","Vel_warm","pID"
"230",25,67,"p05"
"231",26,67.8,"p05"
"232",27,66.1,"p05"
"233",28,65.4,"p05"
"234",29,66.4,"p05"
"235",30,68.2,"p05"
"236",31,68.5,"p05"
"237",32,68.3,"p05"
"238",33,69.8,"p05"
"239",34,68,"p05"
"240",35,68.6,"p05"
"241",36,69.7,"p05"
"242",37,71.3,"p05"
"243",38,71.8,"p05"
"244",39,73.1,"p05"
"245",40,72.4,"p05"
"246",41,72.8,"p05"
"247",42,73.6,"p05"
"248",1,38.8,"p06"
"249",2,38.9,"p06"
"250",3,41.6,"p06"
"251",4,41.9,"p06"
"252",5,42.9,"p06"
"253",6,44.6,"p06"
"254",7,45.1,"p06"
"255",8,45.5,"p06"
"256",9,46.6,"p06"
"257",10,47.5,"p06"
"258",11,49.9,"p06"
"259",12,50,"p06"
"260",13,51.6,"p06"
"261",14,54.5,"p06"
"262",15,52.9,"p06"
"263",16,53.6,"p06"
"264",17,53.8,"p06"
"265",18,55.6,"p06"
"266",19,57.3,"p06"
"267",20,58.2,"p06"
"268",21,59.1,"p06"
"269",22,58.6,"p06"
"270",23,61.9,"p06"
"271",24,63.8,"p06"
"272",25,62.8,"p06"
"273",26,63.6,"p06"
"274",27,64.8,"p06"
"275",28,67.8,"p06"
"276",29,68.9,"p06"
"277",30,69,"p06"
"278",31,70.1,"p06"
"279",32,68.4,"p06"
"280",33,71.1,"p06"
"281",34,72.4,"p06"
"282",35,70.4,"p06"
"283",36,72.1,"p06"
