pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p28,20,213.6,74,R,83.1,53.6,1,NA
p28,20,213.6,74,R,83.1,53.6,2,53.6
p28,20,213.6,74,R,83.1,53.6,3,55.9
p28,20,213.6,74,R,83.1,53.6,4,58.3
p28,20,213.6,74,R,83.1,53.6,5,57.1
p28,20,213.6,74,R,83.1,53.6,6,58.9
p28,20,213.6,74,R,83.1,53.6,7,58.7
p28,20,213.6,74,R,83.1,53.6,8,60.2
p28,20,213.6,74,R,83.1,53.6,9,61.6
p28,20,213.6,74,R,83.1,53.6,10,61.4
p28,20,213.6,74,R,83.1,53.6,11,63.4
p28,20,213.6,74,R,83.1,53.6,12,66
p28,20,213.6,74,R,83.1,53.6,13,65.9
p28,20,213.6,74,R,83.1,53.6,14,66.9
p28,20,213.6,74,R,83.1,53.6,15,65
p28,20,213.6,74,R,83.1,53.6,16,65.1
p28,20,213.6,74,R,83.1,53.6,17,64.8
p28,20,213.6,74,R,83.1,53.6,18,65.8
p28,20,213.6,74,R,83.1,53.6,19,69.3
p28,20,213.6,74,R,83.1,53.6,20,72.1
p28,20,213.6,74,R,83.1,53.6,21,72.5
p28,20,213.6,74,R,83.1,53.6,22,71.4
p28,20,213.6,74,R,83.1,53.6,23,73.6
p28,20,213.6,74,R,83.1,53.6,24,73.3
p28,20,213.6,74,R,83.1,53.6,25,74.8
p28,20,213.6,74,R,83.1,53.6,26,75.4
p28,20,213.6,74,R,83.1,53.6,27,77.6
p28,20,213.6,74,R,83.1,53.6,28,76.7
p28,20,213.6,74,R,83.1,53.6,29,78.8
p28,20,213.6,74,R,83.1,53.6,30,77.4
p28,20,213.6,74,R,83.1,53.6,31,77.7
p28,20,213.6,74,R,83.1,53.6,32,78
p28,20,213.6,74,R,83.1,53.6,33,78.5
p28,20,213.6,74,R,83.1,53.6,34,76.7
p28,20,213.6,74,R,83.1,53.6,35,78
p28,20,213.6,74,R,83.1,53.6,36,78.6
p28,20,213.6,74,R,83.1,53.6,37,80
p28,20,213.6,74,R,83.1,53.6,38,80.3
p28,20,213.6,74,R,83.1,53.6,39,79.1
p28,20,213.6,74,R,83.1,53.6,40,83.1
p28,20,213.6,74,R,83.1,53.6,41,81.7
