pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p35,24,181.4,74,L,80.2,35.9,1,35.9
p35,24,181.4,74,L,80.2,35.9,2,43
p35,24,181.4,74,L,80.2,35.9,3,47.6
p35,24,181.4,74,L,80.2,35.9,4,50.6
p35,24,181.4,74,L,80.2,35.9,5,52.8
p35,24,181.4,74,L,80.2,35.9,6,54.4
p35,24,181.4,74,L,80.2,35.9,7,57.5
p35,24,181.4,74,L,80.2,35.9,8,59.4
p35,24,181.4,74,L,80.2,35.9,9,60.1
p35,24,181.4,74,L,80.2,35.9,10,59.4
p35,24,181.4,74,L,80.2,35.9,11,60.4
p35,24,181.4,74,L,80.2,35.9,12,61.4
p35,24,181.4,74,L,80.2,35.9,13,63.4
p35,24,181.4,74,L,80.2,35.9,14,62.9
p35,24,181.4,74,L,80.2,35.9,15,61.9
p35,24,181.4,74,L,80.2,35.9,16,65
p35,24,181.4,74,L,80.2,35.9,17,64.7
p35,24,181.4,74,L,80.2,35.9,18,64.4
p35,24,181.4,74,L,80.2,35.9,19,66.7
p35,24,181.4,74,L,80.2,35.9,20,66.4
p35,24,181.4,74,L,80.2,35.9,21,68.1
p35,24,181.4,74,L,80.2,35.9,22,65.9
p35,24,181.4,74,L,80.2,35.9,23,67.2
p35,24,181.4,74,L,80.2,35.9,24,68.8
p35,24,181.4,74,L,80.2,35.9,25,70.5
p35,24,181.4,74,L,80.2,35.9,26,71.6
p35,24,181.4,74,L,80.2,35.9,27,70.4
p35,24,181.4,74,L,80.2,35.9,28,74.1
p35,24,181.4,74,L,80.2,35.9,29,73
p35,24,181.4,74,L,80.2,35.9,30,74.1
p35,24,181.4,74,L,80.2,35.9,31,74.8
p35,24,181.4,74,L,80.2,35.9,32,74.5
p35,24,181.4,74,L,80.2,35.9,33,75.1
p35,24,181.4,74,L,80.2,35.9,34,77.2
p35,24,181.4,74,L,80.2,35.9,35,75.4
p35,24,181.4,74,L,80.2,35.9,36,79.1
p35,24,181.4,74,L,80.2,35.9,37,72.8
p35,24,181.4,74,L,80.2,35.9,38,73.4
p35,24,181.4,74,L,80.2,35.9,39,77.4
p35,24,181.4,74,L,80.2,35.9,40,76.9
p35,24,181.4,74,L,80.2,35.9,41,79.7
p35,24,181.4,74,L,80.2,35.9,42,80.2
