pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p23,19,170,71,R,80.2,32.9,1,33
p23,19,170,71,R,80.2,32.9,2,32.9
p23,19,170,71,R,80.2,32.9,3,35
p23,19,170,71,R,80.2,32.9,4,35.3
p23,19,170,71,R,80.2,32.9,5,35.4
p23,19,170,71,R,80.2,32.9,6,37
p23,19,170,71,R,80.2,32.9,7,41.1
p23,19,170,71,R,80.2,32.9,8,42
p23,19,170,71,R,80.2,32.9,9,44.1
p23,19,170,71,R,80.2,32.9,10,45.6
p23,19,170,71,R,80.2,32.9,11,45.2
p23,19,170,71,R,80.2,32.9,12,46.4
p23,19,170,71,R,80.2,32.9,13,50.4
p23,19,170,71,R,80.2,32.9,14,48.8
p23,19,170,71,R,80.2,32.9,15,50.8
p23,19,170,71,R,80.2,32.9,16,51.8
p23,19,170,71,R,80.2,32.9,17,54.3
p23,19,170,71,R,80.2,32.9,18,55.2
p23,19,170,71,R,80.2,32.9,19,57.7
p23,19,170,71,R,80.2,32.9,20,59.8
p23,19,170,71,R,80.2,32.9,21,61
p23,19,170,71,R,80.2,32.9,22,62.5
p23,19,170,71,R,80.2,32.9,23,63.4
p23,19,170,71,R,80.2,32.9,24,66.5
p23,19,170,71,R,80.2,32.9,25,67.1
p23,19,170,71,R,80.2,32.9,26,70.9
p23,19,170,71,R,80.2,32.9,27,73.1
p23,19,170,71,R,80.2,32.9,28,75.4
p23,19,170,71,R,80.2,32.9,29,76
p23,19,170,71,R,80.2,32.9,30,76.1
p23,19,170,71,R,80.2,32.9,31,71
p23,19,170,71,R,80.2,32.9,32,77.1
p23,19,170,71,R,80.2,32.9,33,79.6
p23,19,170,71,R,80.2,32.9,34,80.2
