pID,cond_int,effort,cond_stp,velo
p24,rpe,50,crow,65.6
p24,rpe,50,crow,67.1
p24,rpe,50,crow,72.2
p24,rpe,50,crow,NA
p24,rpe,50,crow,NA
p24,rpe,50,step,66.1
p24,rpe,50,step,68.5
p24,rpe,50,step,68.9
p24,rpe,50,step,NA
p24,rpe,50,step,NA
p24,rpe,75,crow,73.3
p24,rpe,75,crow,74.8
p24,rpe,75,crow,74.3
p24,rpe,75,crow,NA
p24,rpe,75,crow,NA
p24,rpe,75,step,73.1
p24,rpe,75,step,73.4
p24,rpe,75,step,73.1
p24,rpe,75,step,NA
p24,rpe,75,step,NA
p24,rpe,100,crow,78.1
p24,rpe,100,crow,78.2
p24,rpe,100,crow,79.7
p24,rpe,100,crow,NA
p24,rpe,100,crow,NA
p24,rpe,100,step,78.1
p24,rpe,100,step,77.3
p24,rpe,100,step,78.1
p24,rpe,100,step,NA
p24,rpe,100,step,NA
p24,velo,50,crow,NA
p24,velo,50,crow,NA
p24,velo,50,crow,NA
p24,velo,50,crow,NA
p24,velo,50,crow,NA
p24,velo,50,step,NA
p24,velo,50,step,NA
p24,velo,50,step,NA
p24,velo,50,step,NA
p24,velo,50,step,NA
p24,velo,75,crow,NA
p24,velo,75,crow,NA
p24,velo,75,crow,NA
p24,velo,75,crow,NA
p24,velo,75,crow,NA
p24,velo,75,step,NA
p24,velo,75,step,NA
p24,velo,75,step,NA
p24,velo,75,step,NA
p24,velo,75,step,NA
