pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p22,22,202.4,74,R,78.8,31.1,1,31.1
p22,22,202.4,74,R,78.8,31.1,2,34.8
p22,22,202.4,74,R,78.8,31.1,3,37.3
p22,22,202.4,74,R,78.8,31.1,4,41
p22,22,202.4,74,R,78.8,31.1,5,41.6
p22,22,202.4,74,R,78.8,31.1,6,41.9
p22,22,202.4,74,R,78.8,31.1,7,50.6
p22,22,202.4,74,R,78.8,31.1,8,56.3
p22,22,202.4,74,R,78.8,31.1,9,58.9
p22,22,202.4,74,R,78.8,31.1,10,59.6
p22,22,202.4,74,R,78.8,31.1,11,60.5
p22,22,202.4,74,R,78.8,31.1,12,67.6
p22,22,202.4,74,R,78.8,31.1,13,68.8
p22,22,202.4,74,R,78.8,31.1,14,71.8
p22,22,202.4,74,R,78.8,31.1,15,71.3
p22,22,202.4,74,R,78.8,31.1,16,72.6
p22,22,202.4,74,R,78.8,31.1,17,74.4
p22,22,202.4,74,R,78.8,31.1,18,75.8
p22,22,202.4,74,R,78.8,31.1,19,77
p22,22,202.4,74,R,78.8,31.1,20,78.8
