kww	// User ID
12-2-2021	// Evaluation date
kyle-pilot2_08_47.1	10-2-2021	16:09:09:136	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.701184	// height
54.982867	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
0	0.273579	-0.067197	295.315365	2.484161	0.470196	-2.484161	-0.796164	2.170492	0.663061	-2.170492	-2.867125	
1	0.110404	-0.146113	296.935131	2.726098	0.342211	-2.726098	-1.398159	2.375356	0.889500	-2.375356	-3.434060	
2	0.712076	0.062480	299.268250	4.379962	0.346763	-4.379962	-1.388091	2.935355	0.526290	-2.935355	-2.925604	
3	1.703352	0.445447	300.573237	5.604498	0.589782	-5.604498	-0.702134	2.339628	-0.351408	-2.339628	-0.691906	
4	1.826088	0.564939	300.696376	4.149842	0.782408	-4.149842	0.030752	0.380174	-0.925365	-0.380174	1.508762	
5	0.867572	0.287463	301.115899	2.225851	0.460205	-2.225851	0.205646	-0.566213	-0.499364	0.566213	1.022688	
6	0.022629	-0.026655	302.509201	3.091960	-0.351989	-3.091960	-0.549711	0.306832	0.587331	-0.306832	-1.727863	
7	-0.077850	-0.110193	303.889945	5.459702	-0.881495	-5.459702	-2.018279	1.466622	1.380246	-1.466622	-3.908433	
8	0.015411	-0.079355	304.826431	5.839212	-0.690543	-5.839212	-2.787403	1.257561	1.472907	-1.257561	-4.116637	
9	-0.048876	-0.098028	306.281840	3.668222	-0.110799	-3.668222	-2.086901	0.162155	1.340737	-0.162155	-3.541306	
10	-0.016479	-0.156602	308.553365	1.244724	0.437932	-1.244724	-1.026152	0.231889	1.464759	-0.231889	-3.783350	
11	0.129492	-0.190603	310.490613	-0.391915	0.752651	0.391915	-0.673129	1.584752	1.664351	-1.584752	-4.435563	
12	0.136773	-0.206960	311.218466	-1.756004	0.795785	1.756004	-0.808862	2.362754	1.683471	-2.362754	-4.461958	
13	0.126238	-0.234294	310.823769	-3.087567	0.634981	3.087567	-1.139620	2.543983	1.723914	-2.543983	-4.408296	
14	0.332494	-0.239581	309.123442	-2.436195	0.294110	2.436195	-1.663185	3.194749	1.847162	-3.194749	-4.734683	
15	0.448073	-0.206292	305.508043	1.286372	-0.190274	-1.286372	-2.235990	3.632967	1.800314	-3.632967	-4.583700	
16	-0.001248	-0.205246	300.440800	4.915022	-0.631179	-4.915022	-2.564904	2.512117	1.661551	-2.512117	-3.674498	
17	-0.662474	-0.239005	295.380509	4.981303	-0.831338	-4.981303	-2.297176	0.168260	1.566499	-0.168260	-2.698882	
18	-0.569254	-0.164092	290.510556	3.267559	-0.698951	-3.267559	-1.335309	-2.012056	1.126181	2.012056	-1.699590	
19	0.287856	0.036503	284.618402	2.111672	-0.261733	-2.111672	-0.040041	-2.959824	0.170178	2.959824	-0.474655	
20	0.838058	0.121499	277.849165	1.628158	0.136724	-1.628158	0.548378	-2.201025	-0.258389	2.201025	-0.185665	
21	0.636497	-0.061471	271.973621	1.903704	0.024341	-1.903704	-0.853258	0.309257	0.820816	-0.309257	-1.924821	
22	0.264072	-0.330850	267.371086	3.029472	-0.650353	-3.029472	-3.638403	3.883625	2.435641	-3.883625	-4.332141	
23	0.214560	-0.433297	262.430120	3.544746	-1.045506	-3.544746	-4.954600	5.504706	2.870717	-5.504706	-4.917610	
24	0.419602	-0.371751	256.420894	2.616830	-0.161570	-2.616830	-2.775755	3.579274	1.979120	-3.579274	-3.414183	
25	0.619823	-0.328304	250.536087	0.988843	1.584444	-0.988843	1.158340	0.996067	1.086607	-0.996067	-1.962161	
26	0.723225	-0.353711	245.532942	-3.357330	2.744196	3.357330	3.391758	0.408052	0.942841	-0.408052	-1.633549	
27	0.623249	-0.362858	240.737216	-6.334490	2.611694	6.334490	2.852496	2.055116	1.141183	-2.055116	-1.611535	
28	0.025978	-0.385376	235.904984	-2.968572	1.526222	2.968572	0.231112	4.452996	1.626225	-4.452996	-1.714792	
