kww	// User ID
9-7-2021	// Evaluation date
p34_warmup_017_638	9-7-2021	10:47:01:074	// Source file name and timestamp
357.143	// Sampling rate
0.683	// Data capture period

1.680000	// height
62.100000	// mass


Sample #	elb_var	shldrIR	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldIR	
37	1.762467	-0.835913	-16.799336	-1.563424	16.799336	9.415046	-15.635670	10.795734	15.635670	-1.462409	1.006301	2.568510	-61.515799	-58.875224	
38	1.775990	-0.926272	-20.701833	-1.476205	20.701833	9.221529	-17.627332	11.005568	17.627332	-0.219443	1.014333	2.593023	-61.152818	-58.189606	
39	1.786290	-1.013144	-24.284332	-1.371521	24.284332	9.083398	-19.569909	11.217591	19.569909	1.088998	1.028282	2.623088	-60.767494	-57.467374	
40	1.774596	-1.090613	-27.382390	-1.296221	27.382390	9.236969	-21.389185	11.351818	21.389185	2.499716	1.047947	2.658945	-60.356068	-56.702336	
41	1.735463	-1.157065	-29.947737	-1.274617	29.947737	9.757034	-23.056250	11.373674	23.056250	4.011996	1.072951	2.700654	-59.916417	-55.889642	
42	1.684877	-1.211815	-32.039078	-1.285455	32.039078	10.472591	-24.627925	11.343402	24.627925	5.583032	1.102919	2.747945	-59.448345	-55.026185	
43	1.641314	-1.251971	-33.759894	-1.295004	33.759894	11.175447	-26.174015	11.341946	26.174015	7.165353	1.137621	2.800342	-58.952939	-54.110020	
44	1.610824	-1.272401	-35.204598	-1.292076	35.204598	11.789365	-27.720081	11.398543	27.720081	8.727906	1.176877	2.857400	-58.431898	-53.139824	
45	1.594624	-1.265542	-36.402146	-1.280048	36.402146	12.298288	-29.295914	11.520591	29.295914	10.238439	1.220479	2.918769	-57.887480	-52.115042	
46	1.589757	-1.228521	-37.358879	-1.260805	37.358879	12.712187	-30.904779	11.694754	30.904779	11.667510	1.268166	2.984075	-57.322804	-51.036403	
47	1.585646	-1.171652	-38.210534	-1.227512	38.210534	13.075130	-32.441412	11.864665	32.441412	13.013487	1.319437	3.052862	-56.742080	-49.906364	
48	1.580637	-1.111674	-39.191098	-1.155374	39.191098	13.313615	-33.777769	12.013112	33.777769	14.289564	1.373501	3.124722	-56.150413	-48.729018	
49	1.588308	-1.058777	-40.418712	-1.019474	40.418712	13.220181	-34.884715	12.198689	34.884715	15.500865	1.429560	3.199283	-55.552888	-47.509211	
50	1.616043	-1.018013	-41.868381	-0.824550	41.868381	12.689126	-35.762175	12.442507	35.762175	16.660563	1.487022	3.275978	-54.953383	-46.251420	
51	1.658226	-0.994071	-43.499008	-0.599928	43.499008	11.768516	-36.363695	12.691452	36.363695	17.796876	1.545404	3.354015	-54.353956	-44.959267	
52	1.713135	-0.985427	-45.290815	-0.380164	45.290815	10.498117	-36.686517	12.914216	36.686517	18.922367	1.604279	3.432691	-53.754830	-43.635597	
53	1.783328	-0.982888	-47.237227	-0.200359	47.237227	8.934068	-36.805394	13.105646	36.805394	20.027000	1.663371	3.511561	-53.154565	-42.282639	
54	1.864100	-0.979032	-49.343968	-0.087643	49.343968	7.233768	-36.770640	13.224427	36.770640	21.106957	1.722527	3.590267	-52.550518	-40.902354	
55	1.947928	-0.972758	-51.584106	-0.053328	51.584106	5.541809	-36.569664	13.219351	36.569664	22.181334	1.781626	3.668517	-51.939558	-39.496993	
56	2.029948	-0.963142	-53.868237	-0.099179	53.868237	3.938089	-36.180193	13.057923	36.180193	23.273218	1.840618	3.746262	-51.318607	-38.069479	
57	2.105289	-0.948968	-56.084283	-0.221081	56.084283	2.492049	-35.588446	12.711652	35.588446	24.389778	1.899514	3.823619	-50.685039	-36.623653	
58	2.170830	-0.932824	-58.144195	-0.414426	58.144195	1.243668	-34.795941	12.165998	34.795941	25.526180	1.958307	3.900782	-50.036959	-35.164329	
59	2.226392	-0.916893	-60.001727	-0.678124	60.001727	0.203673	-33.836451	11.425687	33.836451	26.669280	2.016969	3.978033	-49.373126	-33.696979	
60	2.271732	-0.900311	-61.621423	-1.008759	61.621423	-0.608266	-32.746979	10.499318	32.746979	27.805392	2.075466	4.055673	-48.692766	-32.227330	
61	2.306524	-0.881501	-62.950329	-1.399340	62.950329	-1.170161	-31.554893	9.399259	31.554893	28.928638	2.133778	4.133939	-47.995592	-30.761184	
62	2.331747	-0.861628	-63.945544	-1.849203	63.945544	-1.484735	-30.274333	8.145411	30.274333	30.040531	2.191907	4.212904	-47.281914	-29.304406	
63	2.347812	-0.845477	-64.591109	-2.369622	64.591109	-1.557779	-28.887648	6.750776	28.887648	31.146825	2.249868	4.292437	-46.552570	-27.862833	
