kww	// User ID
9-7-2021	// Evaluation date
p34_warmup_017_638	9-7-2021	10:47:01:074	// Source file name and timestamp
357.143	// Sampling rate
0.683	// Data capture period

1.680000	// height
62.100000	// mass


Sample #	elb_var	shldrIR	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldIR	
166	10.294215	-11.423199	1332.761780	-148.248478	-1332.761780	635.291955	909.686110	-142.959242	-909.686110	112.198414	14.950106	0.162908	-33.728454	-176.081322	
167	6.177368	-11.015890	1467.819985	-82.777782	-1467.819985	445.665546	989.982833	-37.317070	-989.982833	-2.819781	14.394684	0.165419	-37.836143	-176.224792	
168	3.804878	-10.768978	1535.965772	-43.625217	-1535.965772	343.987595	1008.015690	14.121257	-1008.015690	-38.389751	13.824057	0.177763	-40.935302	-175.504669	
169	2.705946	-10.679802	1554.510183	-18.934341	-1554.510183	313.655882	992.610555	26.485224	-992.610555	-30.736348	13.297151	0.199926	-43.101683	-174.055171	
170	2.503483	-10.668221	1527.631393	-1.438668	-1527.631393	346.032646	956.445966	8.215718	-956.445966	-0.262509	12.844274	0.231090	-44.367122	-171.994882	
171	2.944106	-10.601074	1453.813556	12.104124	-1453.813556	436.462976	902.991309	-35.764826	-902.991309	41.536341	12.478424	0.269763	-44.728666	-169.411294	
172	3.857282	-10.321108	1337.416751	21.948255	-1337.416751	575.139703	834.099335	-98.972011	-834.099335	87.279355	12.203288	0.314243	-44.162067	-166.355679	
173	5.036671	-9.701620	1196.806299	26.591090	-1196.806299	735.828902	757.484500	-169.500809	-757.484500	131.050633	12.015974	0.362768	-42.637651	-162.848649	
174	6.182224	-8.675501	1062.623141	23.999127	-1062.623141	875.574856	689.946425	-232.078434	-689.946425	168.195739	11.905587	0.413461	-40.137709	-158.895404	
175	7.005301	-7.214672	967.654158	13.225511	-967.654158	947.185842	653.199436	-273.077455	-653.199436	195.229795	11.851118	0.464456	-36.673981	-154.507198	
176	7.344678	-5.339757	934.171267	-3.678471	-934.171267	915.344513	664.255533	-283.910929	-664.255533	208.892122	11.821522	0.514111	-32.301866	-149.721260	
177	7.193264	-3.164265	965.771475	-21.130880	-965.771475	772.497252	725.021643	-263.718072	-725.021643	206.697876	11.780645	0.561084	-27.126675	-144.611418	
178	6.672467	-0.897430	1047.286653	-32.134299	-1047.286653	546.287646	818.446884	-220.312120	-818.446884	189.083631	11.696861	0.604231	-21.297943	-139.286109	
179	5.970211	1.219826	1151.434433	-31.922173	-1151.434433	288.667605	915.773346	-166.929733	-915.773346	160.435951	11.552479	0.642454	-14.990797	-133.875683	
180	5.269023	3.002569	1249.099394	-20.459139	-1249.099394	52.785203	989.717707	-116.540735	-989.717707	127.791010	11.347783	0.674692	-8.378723	-128.514669	
181	4.698273	4.370084	1318.996112	-2.100837	-1318.996112	-125.975826	1024.785104	-77.433716	-1024.785104	98.187606	11.098544	0.700049	-1.606714	-123.325350	
182	4.315945	5.334172	1352.675474	16.891885	-1352.675474	-235.448080	1020.019693	-52.016056	-1020.019693	76.237532	10.829072	0.717912	5.226582	-118.406773	
183	4.114210	5.957886	1353.546639	31.113089	-1353.546639	-281.524632	984.967022	-38.288714	-984.967022	63.066591	10.564131	0.728020	12.073966	-113.830222	
184	4.037383	6.316970	1331.434480	37.741968	-1331.434480	-279.888527	933.115555	-32.206171	-933.115555	56.841826	10.322643	0.730649	18.934416	-109.640192	
185	4.007510	6.477173	1296.250917	36.757243	-1296.250917	-248.830779	876.514249	-29.590399	-876.514249	54.304664	10.114808	0.726830	25.844639	-105.858978	
186	3.951108	6.488088	1254.249563	30.002064	-1254.249563	-204.493852	823.072976	-27.167296	-823.072976	52.275557	9.942659	0.718332	32.876301	-102.492801	
187	3.817308	6.387191	1207.730125	20.018624	-1207.730125	-158.704593	776.418989	-22.914393	-776.418989	48.491525	9.802441	0.707517	40.147380	-99.537826	
188	3.584542	6.207354	1156.955820	9.312618	-1156.955820	-118.796785	737.199779	-16.022696	-737.199779	41.817267	9.687376	0.697222	47.856953	-96.985159	
189	3.256280	5.979517	1102.317240	0.018621	-1102.317240	-88.253180	704.516200	-6.639833	-704.516200	32.082407	9.590064	0.690412	56.358149	-94.824645	
190	2.854110	5.721806	1045.552399	-6.577149	-1045.552399	-66.979011	676.819967	4.467427	-676.819967	19.824560	9.504113	0.689714	66.295243	-93.047544	
191	2.404872	5.424008	989.602385	-10.296704	-989.602385	-52.448339	652.599305	16.408540	-652.599305	5.880021	9.424696	0.697167	78.820582	-91.647453	
192	1.922675	5.055593	937.341002	-11.445966	-937.341002	-42.377609	630.896610	28.633765	-630.896610	-9.095663	9.347979	0.713955	95.698698	-90.618668	
193	1.409325	4.593085	890.529390	-10.211519	-890.529390	-36.017786	611.186556	40.873760	-611.186556	-24.646213	9.270347	0.740107	118.122411	-89.953062	
194	0.867791	4.028573	849.488836	-6.841923	-849.488836	-33.286665	592.962562	52.879442	-592.962562	-40.279516	9.188290	0.774545	142.945883	-89.637591	
195	0.304612	3.360188	813.198580	-1.852252	-813.198580	-34.151145	575.662778	64.493567	-575.662778	-55.544845	9.098515	0.815409	163.570386	-89.652879	
196	-0.275580	2.589749	780.050151	4.225975	-780.050151	-38.772708	558.877953	75.763526	-558.877953	-70.198382	8.997853	0.860485	177.652135	-89.972195	
197	-0.870541	1.727801	748.863849	11.056628	-748.863849	-47.295881	542.455947	86.802395	-542.455947	-84.125966	8.883362	0.907701	-173.296661	-90.560890	
198	-1.466125	0.802605	719.212968	18.256348	-719.212968	-58.892495	526.144427	97.381800	-526.144427	-96.957114	8.752895	0.955530	-167.474552	-91.376805	
199	-2.027318	-0.140608	690.912327	25.171008	-690.912327	-71.452245	509.263879	106.753068	-509.263879	-107.888286	8.605684	1.003108	-163.685454	-92.371849	
200	-2.527418	-1.061684	663.663514	31.344573	-663.663514	-83.098118	491.273443	114.283467	-491.273443	-116.323325	8.442260	1.050093	-161.200764	-93.494253	
201	-2.968915	-1.933780	637.491689	36.883023	-637.491689	-93.067394	472.334170	119.860623	-472.334170	-122.257098	8.263874	1.096433	-159.566511	-94.690844	
202	-3.353295	-2.726085	612.882513	41.930628	-612.882513	-100.740952	452.801328	123.419171	-452.801328	-125.778348	8.072425	1.142160	-158.486258	-95.909353	
203	-3.667161	-3.402247	590.057980	46.403480	-590.057980	-105.583952	432.763428	124.839895	-432.763428	-126.952738	7.870782	1.187300	-157.757878	-97.101007	
204	-3.913138	-3.937974	568.552269	50.455216	-568.552269	-108.128111	412.404772	124.355209	-412.404772	-126.177533	7.662427	1.231861	-157.240303	-98.223150	
205	-4.111793	-4.326671	547.478642	54.447157	-547.478642	-109.706888	392.108947	122.481573	-392.108947	-124.083771	7.450552	1.275823	-156.835967	-99.241462	
206	-4.268383	-4.568851	525.861595	58.410051	-525.861595	-111.331570	372.024247	119.619921	-372.024247	-121.149255	7.237896	1.319159	-156.479957	-100.131379	
207	-4.369802	-4.663382	502.827623	62.026990	-502.827623	-113.340990	352.007423	115.953247	-352.007423	-117.582360	7.027343	1.361880	-156.131687	-100.878565	
208	-4.407670	-4.615243	477.638202	64.972740	-477.638202	-115.792074	331.896654	111.646379	-331.896654	-113.502999	6.822099	1.404009	-155.768843	-101.478919	
209	-4.397920	-4.455736	449.794005	67.181552	-449.794005	-118.899088	311.766953	107.077751	-311.766953	-109.190009	6.625036	1.445459	-155.383059	-101.938126	
210	-4.379525	-4.239993	419.319985	68.876715	-419.319985	-122.991398	292.005270	102.769420	-292.005270	-105.067044	6.437657	1.485933	-154.975605	-102.269852	
211	-4.378537	-4.012827	386.743272	70.162747	-386.743272	-127.883317	272.880186	99.005488	-272.880186	-101.373870	6.259765	1.524893	-154.552705	-102.492616	
212	-4.397023	-3.795870	352.887469	70.921927	-352.887469	-132.838622	254.377810	95.771508	-254.377810	-98.084057	6.090405	1.561631	-154.121544	-102.626874	
213	-4.440521	-3.602944	318.847367	71.158004	-318.847367	-137.273406	236.592559	93.021798	-236.592559	-95.148647	5.928551	1.595446	-153.687772	-102.693177	
214	-4.516054	-3.443421	285.707089	70.969454	-285.707089	-140.952217	219.653032	90.743166	-219.653032	-92.587259	5.772974	1.625842	-153.254701	-102.711057	
215	-4.626678	-3.321836	254.195392	70.470866	-254.195392	-143.889944	203.622868	88.925535	-203.622868	-90.447508	5.622223	1.652575	-152.823720	-102.698273	
216	-4.778650	-3.239717	224.707283	69.782308	-224.707283	-146.145738	188.647473	87.483724	-188.647473	-88.699121	5.474701	1.675500	-152.394832	-102.670288	
217	-4.961671	-3.190381	197.337530	68.817081	-197.337530	-147.455369	174.640697	86.172585	-174.640697	-87.149817	5.329022	1.694408	-151.966919	-102.640124	
218	-5.145363	-3.161164	171.938019	67.387779	-171.938019	-147.506216	161.223779	84.750088	-161.223779	-85.584456	5.184693	1.709072	-151.538126	-102.618658	
219	-5.305630	-3.138989	148.308068	65.470172	-148.308068	-146.358208	148.161696	83.108715	-148.161696	-83.882189	5.042164	1.719303	-151.106511	-102.614944	
220	-5.439933	-3.117520	126.270979	63.235244	-126.270979	-144.484388	135.532369	81.312169	-135.532369	-82.075750	4.902285	1.724784	-150.670834	-102.636618	
221	-5.568596	-3.108567	105.713536	61.003235	-105.713536	-142.719222	123.647337	79.630338	-123.647337	-80.406191	4.765506	1.724890	-150.231286	-102.690294	
222	-5.715898	-3.131304	86.655059	59.027595	-86.655059	-141.744866	112.829852	78.295814	-112.829852	-79.090371	4.631292	1.718903	-149.789470	-102.781218	
223	-5.882434	-3.187911	69.217328	57.243354	-69.217328	-141.440883	103.119829	77.206710	-103.119829	-78.024852	4.498572	1.706629	-149.347531	-102.912396	
224	-6.051441	-3.265742	53.638407	55.385571	-53.638407	-141.078245	94.335028	76.033474	-94.335028	-76.890450	4.366669	1.688697	-148.907303	-103.084292	
225	-6.223297	-3.358784	40.306700	53.307641	-40.306700	-140.057731	86.450613	74.525712	-86.450613	-75.473016	4.235404	1.666181	-148.470103	-103.295258	
226	-6.408840	-3.464389	29.387479	50.989574	-29.387479	-138.155623	79.535531	72.574166	-79.535531	-73.710953	4.104564	1.640135	-148.036987	-103.541991	
227	-6.588838	-3.563457	20.560399	48.355647	-20.560399	-135.302229	73.368480	70.112494	-73.368480	-71.533437	3.974006	1.611322	-147.609130	-103.819966	
228	-6.718930	-3.630144	13.436546	45.263823	-13.436546	-131.310382	67.512032	67.075436	-67.512032	-68.809646	3.844277	1.580238	-147.188281	-104.124203	
229	-6.758983	-3.651721	7.754435	41.597496	-7.754435	-125.799971	61.592439	63.390399	-61.592439	-65.395812	3.716613	1.547431	-146.776972	-104.449985	
230	-6.678166	-3.621648	3.138612	37.350229	-3.138612	-118.498713	55.402868	59.002259	-55.402868	-61.191036	3.592564	1.513679	-146.377900	-104.792876	
231	-6.454896	-3.526801	-0.818230	32.662469	0.818230	-109.489971	48.936928	53.926694	-48.936928	-56.190497	3.473794	1.479876	-145.992877	-105.148413	
232	-6.074591	-3.350198	-4.297632	27.747746	4.297632	-99.009869	42.287208	48.247963	-42.287208	-50.465782	3.361916	1.446940	-145.622315	-105.512352	
233	-5.514907	-3.075430	-7.242532	22.779995	7.242532	-87.050894	35.425772	42.013348	-35.425772	-44.052226	3.258482	1.415886	-145.265378	-105.881303	
234	-4.748300	-2.685138	-9.323623	17.867926	9.323623	-73.291842	28.217411	35.170406	-28.217411	-36.905726	3.165270	1.387957	-144.920318	-106.253077	
235	-3.759005	-2.164633	-10.082768	13.075327	10.082768	-57.357371	20.553028	27.642274	-20.553028	-28.982587	3.084350	1.364611	-144.585126	-106.626747	
236	-2.539750	-1.510199	-9.467316	8.417162	9.467316	-39.024740	12.252054	19.401804	-12.252054	-20.313769	3.017961	1.347323	-144.258495	-107.002679	
237	-1.093792	-0.733370	-7.922756	3.835899	7.922756	-18.220141	3.025456	10.447801	-3.025456	-10.997698	2.968573	1.337409	-143.940202	-107.382255	
238	0.550057	0.141766	-6.092494	-0.835058	6.092494	5.051340	-7.419124	0.777557	7.419124	-1.156069	2.938808	1.335985	-143.630553	-107.767244	
239	2.326060	1.078775	-4.741920	-5.825296	4.741920	30.469041	-19.273875	-9.499688	19.273875	8.998434	2.931008	1.343878	-143.329798	-108.159308	
240	4.130795	2.025367	-4.636474	-11.312480	4.636474	57.244516	-32.505507	-20.101490	32.505507	19.136537	2.946623	1.361428	-143.038324	-108.560022	
241	5.755915	2.872501	-6.243084	-17.066729	6.243084	83.101728	-46.120300	-30.150356	46.120300	28.421370	2.985141	1.388161	-142.757253	-108.971011	
242	7.073567	3.551776	-9.460945	-22.810982	9.460945	106.558087	-59.215359	-39.079881	59.215359	36.397665	3.043605	1.422729	-142.488432	-109.393692	
243	7.356210	3.681136	-12.301737	-25.727093	12.301737	116.069088	-65.033097	-42.116644	65.033097	38.651750	3.112971	1.461671	-142.233672	-109.828760	
244	7.837546	3.910998	-16.138752	-29.444021	16.138752	128.881118	-72.903266	-46.583700	72.903266	42.241345	3.186337	1.502490	-141.993666	-110.275683	
