kww	// User ID
23-6-2021	// Evaluation date
p17_e_100_crow_001	23-6-2021	15:59:59:482	// Source file name and timestamp
357.143	// Sampling rate
0.658	// Data capture period

1.960000	// height
98.700000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-9.576276	6.374367	5.058184	222.332234	-48.781300	-222.332234	282.160022	-56.659857	-99.454666	56.659857	67.443715	5.039394	
1	-8.648772	5.448937	5.015553	197.291984	-37.933903	-197.291984	246.883671	-51.105019	-88.675619	51.105019	61.354351	5.095850	
2	-8.088486	4.702854	4.967771	184.692569	-28.381877	-184.692569	218.727639	-43.231581	-80.522992	43.231581	56.609088	5.146941	
3	-6.017905	3.324522	4.918066	146.214664	-15.519292	-146.214664	161.169784	-34.830473	-58.036238	34.830473	41.391039	5.189269	
4	-3.535200	1.831531	4.871119	106.441153	-3.500638	-106.441153	98.161220	-24.653040	-31.591852	24.653040	22.529348	5.217703	
5	-0.811046	0.304068	4.828967	67.427399	6.979240	-67.427399	34.211501	-13.720886	-3.242669	13.720886	1.634842	5.229930	
6	1.856578	-1.140577	4.793685	32.085763	15.451149	-32.085763	-24.602930	-3.212452	23.957246	3.212452	-18.732929	5.225199	
7	4.308911	-2.445921	4.766346	0.329126	21.976790	-0.329126	-75.429943	5.748363	48.363125	-5.748363	-36.924301	5.204299	
8	6.439082	-3.576502	4.746537	-28.358861	26.798361	28.358861	-116.843571	12.507036	68.981324	-12.507036	-51.815982	5.169067	
9	8.197951	-4.528073	4.733334	-54.235784	30.307447	54.235784	-148.846845	17.066849	85.550999	-17.066849	-62.968586	5.121870	
10	9.573538	-5.315864	4.726041	-77.289968	32.874491	77.289968	-172.203693	19.893461	98.247532	-19.893461	-70.421164	5.065103	
11	10.580775	-5.961629	4.723528	-97.559176	34.748632	97.559176	-188.011149	21.630706	107.446174	-21.630706	-74.485989	5.000919	
12	11.254384	-6.488308	4.723661	-115.182732	36.080511	115.182732	-197.532290	22.923782	113.604788	-22.923782	-75.625862	4.931162	
13	11.640683	-6.916166	4.723755	-130.408279	36.956782	130.408279	-202.012256	24.275455	117.192816	-24.275455	-74.368275	4.857386	
14	11.793040	-7.261112	4.720943	-143.543221	37.429066	143.543221	-202.573946	25.972641	118.652526	-25.972641	-71.241253	4.780856	
15	11.768293	-7.538740	4.712285	-154.949267	37.553686	154.949267	-200.284147	28.139373	118.398055	-28.139373	-66.739255	4.702595	
16	11.616954	-7.764421	4.696100	-164.982465	37.406405	164.982465	-196.095439	30.800997	116.791291	-30.800997	-61.291444	4.623456	
