kww	// User ID
23-6-2021	// Evaluation date
p16_warmup_007	23-6-2021	14:24:15:984	// Source file name and timestamp
357.143	// Sampling rate
0.911	// Data capture period

1.780000	// height
81.200000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	0.220102	0.358818	3.043973	-11.561415	0.346899	11.561415	-24.050886	3.601031	5.044872	-3.601031	-8.855807	1.954976	
1	0.243343	0.429002	3.041286	-10.572929	0.284499	10.572929	-23.857227	3.158599	6.119234	-3.158599	-10.841800	1.972289	
2	0.289092	0.516739	3.036188	-9.902887	0.233275	9.902887	-24.523373	2.984665	7.229372	-2.984665	-12.883564	1.985833	
3	0.211722	0.501398	3.030652	-7.132089	0.160756	7.132089	-21.625053	2.369522	7.904922	-2.369522	-14.216906	1.995807	
4	0.062708	0.432855	3.028219	-3.431499	0.112463	3.431499	-17.535282	1.826023	8.298536	-1.826023	-15.041397	2.002758	
5	-0.139240	0.332504	3.030421	0.960060	0.089749	-0.960060	-12.648092	1.346548	8.465538	-1.346548	-15.430997	2.007220	
6	-0.366761	0.220184	3.038353	5.551279	0.086622	-5.551279	-7.515990	0.898415	8.422975	-0.898415	-15.405378	2.009938	
7	-0.611845	0.093693	3.052573	10.012612	0.094425	-10.012612	-2.266774	0.405884	8.094312	-0.405884	-14.848522	2.011754	
8	-0.869008	-0.047536	3.073068	14.079909	0.103578	-14.079909	2.991817	-0.184040	7.457119	0.184040	-13.748890	2.013478	
9	-1.125082	-0.191587	3.099303	17.477796	0.104184	-17.477796	7.954923	-0.887809	6.638705	0.887809	-12.345815	2.015752	
10	-1.360853	-0.322186	3.130443	19.982270	0.090552	-19.982270	12.291662	-1.712472	5.801109	1.712472	-10.918642	2.018954	
11	-1.558896	-0.429013	3.165522	21.501700	0.063447	-21.501700	15.829504	-2.664804	5.043852	2.664804	-9.627622	2.023208	
12	-1.714242	-0.509652	3.203632	22.004870	0.031000	-22.004870	18.434509	-3.692721	4.448188	3.692721	-8.604256	2.028446	
13	-1.828569	-0.561268	3.244028	21.527589	0.000112	-21.527589	19.999618	-4.718027	4.086266	4.718027	-7.963030	2.034473	
14	-1.900936	-0.578831	3.285982	20.222408	-0.027544	-20.222408	20.565327	-5.716492	3.981665	5.716492	-7.731142	2.041070	
15	-1.931110	-0.564611	3.328629	18.293077	-0.050046	-18.293077	20.351772	-6.711124	4.097297	6.711124	-7.837639	2.048086	
16	-1.929814	-0.532085	3.371118	15.939005	-0.063182	-15.939005	19.654309	-7.719472	4.356774	7.719472	-8.159708	2.055421	
17	-1.923453	-0.501614	3.412804	13.316698	-0.063172	-13.316698	18.738566	-8.728956	4.664533	8.728956	-8.556733	2.062995	
18	-1.948983	-0.496751	3.453120	10.564797	-0.048721	-10.564797	17.887815	-9.707279	4.891307	9.707279	-8.841245	2.070797	
19	-2.027629	-0.528685	3.491433	7.816428	-0.022814	-7.816428	17.290783	-10.619712	4.948567	10.619712	-8.881479	2.078896	
20	-2.123315	-0.572922	3.527277	5.033900	0.003221	-5.033900	16.786054	-11.475349	4.920978	11.475349	-8.787305	2.087318	
21	-2.185394	-0.600374	3.560629	2.083733	0.019232	-2.083733	16.144622	-12.325544	4.931517	12.325544	-8.724091	2.096083	
22	-2.220332	-0.619662	3.591762	-1.027331	0.026452	1.027331	15.405263	-13.193795	4.971449	13.193795	-8.687701	2.105292	
23	-2.253210	-0.645231	3.620945	-4.199830	0.027938	4.199830	14.646159	-14.084918	5.016564	14.084918	-8.659115	2.114869	
24	-2.283382	-0.668920	3.648354	-7.349895	0.022829	7.349895	13.858821	-15.026784	5.091159	15.026784	-8.673372	2.124465	
25	-2.301133	-0.681001	3.674261	-10.507378	0.011039	10.507378	12.994486	-16.033498	5.220887	16.033498	-8.758623	2.133757	
26	-2.297419	-0.677536	3.699151	-13.802353	-0.005272	13.802353	11.934686	-17.077254	5.449579	17.077254	-8.970120	2.142558	
27	-2.268522	-0.652901	3.723492	-17.234665	-0.022330	17.234665	10.617592	-18.124261	5.810069	18.124261	-9.345945	2.150723	
28	-2.220954	-0.604930	3.747519	-20.675974	-0.036911	20.675974	9.081775	-19.150202	6.299587	19.150202	-9.874483	2.158191	
29	-2.163724	-0.536753	3.771305	-24.005683	-0.048552	24.005683	7.343918	-20.124111	6.922019	20.124111	-10.555828	2.165023	
30	-2.104846	-0.454415	3.794777	-27.042747	-0.058747	27.042747	5.479068	-21.017434	7.648272	21.017434	-11.345296	2.171293	
31	-2.052508	-0.368315	3.817616	-29.648009	-0.069503	29.648009	3.678847	-21.821914	8.377641	21.821914	-12.108495	2.177030	
32	-2.010682	-0.286288	3.839548	-31.882296	-0.081747	31.882296	2.089002	-22.548487	9.023968	22.548487	-12.740676	2.182205	
33	-1.981950	-0.211602	3.860658	-33.804249	-0.095288	33.804249	0.814185	-23.216316	9.533251	23.216316	-13.182715	2.186756	
34	-1.970674	-0.149686	3.881071	-35.364394	-0.110896	35.364394	-0.024786	-23.847144	9.840871	23.847144	-13.364237	2.190635	
35	-1.979213	-0.104813	3.900656	-36.544937	-0.129374	36.544937	-0.363325	-24.458801	9.902617	24.458801	-13.245658	2.193794	
36	-2.010828	-0.078016	3.919364	-37.348663	-0.150548	37.348663	-0.164216	-25.045990	9.696207	25.045990	-12.819030	2.196256	
37	-2.069074	-0.070472	3.937464	-37.774060	-0.175213	37.774060	0.571908	-25.578280	9.218770	25.578280	-12.099907	2.198130	
38	-2.148471	-0.078840	3.955258	-37.905025	-0.204343	37.905025	1.695596	-26.026084	8.548537	26.026084	-11.193340	2.199418	
39	-2.232089	-0.089829	3.972977	-37.942527	-0.236761	37.942527	2.871383	-26.358680	7.874198	26.358680	-10.325031	2.200049	
40	-2.304809	-0.088848	3.990934	-38.092674	-0.270625	38.092674	3.748945	-26.541993	7.378683	26.541993	-9.706814	2.200008	
41	-2.368741	-0.073884	4.009385	-38.409316	-0.304801	38.409316	4.284551	-26.592462	7.064241	26.592462	-9.333722	2.199286	
42	-2.436842	-0.056399	4.028278	-38.842982	-0.337686	38.842982	4.732620	-26.586790	6.770029	26.586790	-9.007388	2.197847	
43	-2.515172	-0.049776	4.047279	-39.378908	-0.366615	39.378908	5.323770	-26.599966	6.346426	26.599966	-8.544372	2.195641	
