"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","max_elb_var","max_shldr_ir"
"78","p03",27,219.8,73,"R",74.6,33.6,1,34.1,17.467546,23.410737
"79","p03",27,219.8,73,"R",74.6,33.6,2,33.6,18.163846,22.99331
"80","p03",27,219.8,73,"R",74.6,33.6,3,35.2,18.57494,22.856376
"81","p03",27,219.8,73,"R",74.6,33.6,4,36.4,20.300394,23.275871
"82","p03",27,219.8,73,"R",74.6,33.6,5,35.3,18.862058,23.777792
"83","p03",27,219.8,73,"R",74.6,33.6,6,37,17.955805,25.140624
"84","p03",27,219.8,73,"R",74.6,33.6,7,38.8,20.876133,27.717197
"85","p03",27,219.8,73,"R",74.6,33.6,8,39.8,21.736281,30.111587
"86","p03",27,219.8,73,"R",74.6,33.6,9,43.8,23.041471,29.604544
"87","p03",27,219.8,73,"R",74.6,33.6,10,43.5,24.709791,31.005535
"88","p03",27,219.8,73,"R",74.6,33.6,11,44.4,24.083072,31.885264
"89","p03",27,219.8,73,"R",74.6,33.6,12,43.4,24.449075,29.695363
"90","p03",27,219.8,73,"R",74.6,33.6,13,44.5,23.109455,31.735004
"91","p03",27,219.8,73,"R",74.6,33.6,14,47.1,27.73776,37.052872
"92","p03",27,219.8,73,"R",74.6,33.6,15,48.8,26.094979,36.514559
"93","p03",27,219.8,73,"R",74.6,33.6,16,48.6,28.606893,37.193825
"94","p03",27,219.8,73,"R",74.6,33.6,17,49.9,28.133526,39.268067
"95","p03",27,219.8,73,"R",74.6,33.6,18,49.6,27.84485,39.620827
"96","p03",27,219.8,73,"R",74.6,33.6,19,51.2,29.257117,37.966612
"97","p03",27,219.8,73,"R",74.6,33.6,20,51,29.93455,39.165216
"98","p03",27,219.8,73,"R",74.6,33.6,21,53.4,31.470142,43.480839
"99","p03",27,219.8,73,"R",74.6,33.6,22,54.2,32.308631,44.192771
"100","p03",27,219.8,73,"R",74.6,33.6,23,48.1,26.719764,36.185595
"101","p03",27,219.8,73,"R",74.6,33.6,24,52.4,29.377468,39.467971
"102","p03",27,219.8,73,"R",74.6,33.6,25,52.3,31.85385,42.075799
"103","p03",27,219.8,73,"R",74.6,33.6,26,56.1,31.707431,46.727694
"104","p03",27,219.8,73,"R",74.6,33.6,27,58.1,37.058863,49.575652
"105","p03",27,219.8,73,"R",74.6,33.6,28,58.8,35.431604,49.411732
"106","p03",27,219.8,73,"R",74.6,33.6,29,58.9,36.488101,51.885055
"107","p03",27,219.8,73,"R",74.6,33.6,30,59,36.581128,49.605821
"108","p03",27,219.8,73,"R",74.6,33.6,31,62.3,38.636985,53.86238
"109","p03",27,219.8,73,"R",74.6,33.6,32,61.5,37.278089,51.749644
"110","p03",27,219.8,73,"R",74.6,33.6,33,62.3,40.804827,59.32734
"111","p03",27,219.8,73,"R",74.6,33.6,34,65.9,45.298254,61.847432
"112","p03",27,219.8,73,"R",74.6,33.6,35,67.1,45.357684,63.204497
"113","p03",27,219.8,73,"R",74.6,33.6,36,69.5,48.890991,67.305949
"114","p03",27,219.8,73,"R",74.6,33.6,37,67.5,45.996965,64.924336
"115","p03",27,219.8,73,"R",74.6,33.6,38,67.4,44.127932,62.023235
"116","p03",27,219.8,73,"R",74.6,33.6,39,66.3,43.398655,60.431778
"117","p03",27,219.8,73,"R",74.6,33.6,40,73.1,53.902777,71.80614
"118","p03",27,219.8,73,"R",74.6,33.6,41,74,55.197979,73.76286
"119","p03",27,219.8,73,"R",74.6,33.6,42,74.6,54.343739,70.772729
"120","p04",26,188.8,74,"L",83.6,46.7,1,46.7,14.073848,16.115672
"121","p04",26,188.8,74,"L",83.6,46.7,2,47.7,15.041032,16.823752
"122","p04",26,188.8,74,"L",83.6,46.7,3,49.9,16.921942,19.269124
"123","p04",26,188.8,74,"L",83.6,46.7,4,52,18.449157,20.805925
"124","p04",26,188.8,74,"L",83.6,46.7,5,50.8,17.300063,19.2918
"125","p04",26,188.8,74,"L",83.6,46.7,6,52.3,19.75498,21.160158
"126","p04",26,188.8,74,"L",83.6,46.7,7,54.9,21.757021,24.829449
"127","p04",26,188.8,74,"L",83.6,46.7,8,55.4,21.519953,25.292242
"128","p04",26,188.8,74,"L",83.6,46.7,9,58.2,25.110402,29.380408
"129","p04",26,188.8,74,"L",83.6,46.7,10,60.4,26.596343,30.584157
"130","p04",26,188.8,74,"L",83.6,46.7,11,61.3,26.600868,29.768222
"131","p04",26,188.8,74,"L",83.6,46.7,12,62.6,28.578769,32.974539
"132","p04",26,188.8,74,"L",83.6,46.7,13,63.7,29.954916,34.708805
"133","p04",26,188.8,74,"L",83.6,46.7,14,63.9,28.50164,32.668548
"134","p04",26,188.8,74,"L",83.6,46.7,15,66.9,31.548548,37.104835
"135","p04",26,188.8,74,"L",83.6,46.7,16,68.1,33.195123,40.395988
"136","p04",26,188.8,74,"L",83.6,46.7,17,72.2,37.608608,42.540554
"137","p04",26,188.8,74,"L",83.6,46.7,18,72.5,37.702961,44.673203
"138","p04",26,188.8,74,"L",83.6,46.7,19,73.9,40.576184,46.665119
"139","p04",26,188.8,74,"L",83.6,46.7,20,71.3,35.052815,41.197845
"140","p04",26,188.8,74,"L",83.6,46.7,21,73.5,38.528027,45.839579
"141","p04",26,188.8,74,"L",83.6,46.7,22,76.1,42.659331,48.399862
"142","p04",26,188.8,74,"L",83.6,46.7,23,79.6,45.716401,52.850024
"143","p04",26,188.8,74,"L",83.6,46.7,24,79.9,48.160444,54.311963
"144","p04",26,188.8,74,"L",83.6,46.7,25,82.2,48.243175,56.43625
"145","p04",26,188.8,74,"L",83.6,46.7,26,83.3,51.974141,59.515024
"146","p04",26,188.8,74,"L",83.6,46.7,27,83,51.574814,58.716007
"147","p04",26,188.8,74,"L",83.6,46.7,28,81.3,51.083687,57.138787
"148","p04",26,188.8,74,"L",83.6,46.7,29,83.6,52.335327,60.978877
"149","p05",24,197,72,"L",73.6,32.6,1,32.6,13.369046,18.046417
"150","p05",24,197,72,"L",73.6,32.6,2,33.1,12.24502,17.16439
"151","p05",24,197,72,"L",73.6,32.6,3,33.3,13.442318,19.062196
"152","p05",24,197,72,"L",73.6,32.6,4,33.7,13.390762,18.850286
"153","p05",24,197,72,"L",73.6,32.6,5,34.9,14.446999,19.471154
"154","p05",24,197,72,"L",73.6,32.6,6,39.3,17.889404,23.574149
"155","p05",24,197,72,"L",73.6,32.6,7,37.9,17.606181,23.21056
"156","p05",24,197,72,"L",73.6,32.6,8,42.5,20.837122,27.500705
"157","p05",24,197,72,"L",73.6,32.6,9,44.3,22.044213,28.426021
"158","p05",24,197,72,"L",73.6,32.6,10,42.4,20.5244,26.432182
"159","p05",24,197,72,"L",73.6,32.6,11,47.9,24.558264,30.458094
"160","p05",24,197,72,"L",73.6,32.6,12,48.5,25.004849,32.588168
"161","p05",24,197,72,"L",73.6,32.6,13,55.4,32.777478,42.302357
"162","p05",24,197,72,"L",73.6,32.6,14,55.1,31.814979,39.19305
"163","p05",24,197,72,"L",73.6,32.6,15,55.5,32.573675,41.951817
"164","p05",24,197,72,"L",73.6,32.6,16,56.5,33.963462,43.059957
"165","p05",24,197,72,"L",73.6,32.6,17,58.1,35.783976,44.284972
"166","p05",24,197,72,"L",73.6,32.6,18,58.1,34.76399,42.930742
"167","p05",24,197,72,"L",73.6,32.6,19,57.4,36.204778,45.716866
"168","p05",24,197,72,"L",73.6,32.6,20,61.1,37.206637,46.440236
"169","p05",24,197,72,"L",73.6,32.6,21,61.4,40.129705,47.666528
"170","p05",24,197,72,"L",73.6,32.6,22,63.2,42.932159,50.980961
"171","p05",24,197,72,"L",73.6,32.6,23,NA,45.824477,52.960186
"172","p05",24,197,72,"L",73.6,32.6,24,64.3,47.073334,52.583646
"173","p05",24,197,72,"L",73.6,32.6,25,67,48.839953,53.81251
"174","p05",24,197,72,"L",73.6,32.6,26,67.8,51.304939,57.116022
"175","p05",24,197,72,"L",73.6,32.6,27,66.1,49.216256,54.504141
"176","p05",24,197,72,"L",73.6,32.6,28,65.4,47.780036,53.152414
"177","p05",24,197,72,"L",73.6,32.6,29,66.4,48.624225,54.513698
"178","p05",24,197,72,"L",73.6,32.6,30,68.2,52.684854,57.819439
"179","p05",24,197,72,"L",73.6,32.6,31,68.5,52.12501,57.280795
"180","p05",24,197,72,"L",73.6,32.6,32,68.3,53.915778,59.421291
