kww	// User ID
11-5-2021	// Evaluation date
p05_e_75_crow_003	11-5-2021	14:31:01:867	// Source file name and timestamp
238.095	// Sampling rate
0.688	// Data capture period

1.830000	// height
89.500000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-6.918362	-4.680258	2.990254	122.633534	-9.597712	-122.633534	128.868740	1.136383	-61.344909	-1.136383	57.380678	3.060221	
1	-5.294510	-3.825392	3.084523	108.622749	-7.682241	-108.622749	111.912219	-3.867686	-51.050422	3.867686	48.094827	2.978678	
2	-3.865580	-3.073429	3.161307	98.339855	-6.064260	-98.339855	95.235301	-6.954813	-40.853051	6.954813	38.757002	2.925703	
3	-1.948283	-2.005124	3.216703	73.359489	-4.360233	-73.359489	72.284956	-13.994413	-26.378309	13.994413	25.625563	2.907613	
4	-0.262439	-0.987655	3.248345	47.840094	-3.044352	-47.840094	51.643236	-20.382287	-13.555794	20.382287	14.491483	2.924465	
5	1.087908	-0.069645	3.259563	22.114900	-2.130184	-22.114900	34.870818	-26.110241	-3.760084	26.110241	6.646325	2.962250	
6	2.035100	0.718501	3.255522	-2.783543	-1.593784	2.783543	22.506554	-31.045217	2.380988	31.045217	2.358126	3.009340	
7	2.618359	1.359903	3.241504	-26.219394	-1.333265	26.219394	14.117786	-35.251982	5.237674	35.251982	0.923874	3.058736	
8	2.909388	1.797332	3.222047	-46.023043	-1.217273	46.023043	9.555489	-38.503073	5.429501	38.503073	1.601661	3.106971	
9	2.993248	2.006177	3.200757	-59.843920	-1.153860	59.843920	8.475555	-40.754038	3.821771	40.754038	3.632253	3.152282	
10	2.949870	2.028025	3.180038	-66.848845	-1.096918	66.848845	9.850894	-42.171372	1.406324	42.171372	6.204632	3.194090	
11	2.851344	1.938093	3.160988	-68.001956	-1.002434	68.001956	12.194265	-42.910344	-0.929159	42.910344	8.567976	3.232955	
12	2.754327	1.819342	3.143506	-65.591597	-0.828570	65.591597	13.931100	-43.134474	-2.546975	43.134474	10.139843	3.269780	
13	2.690462	1.725949	3.126842	-61.971706	-0.554602	61.971706	14.037364	-42.983344	-3.208449	42.983344	10.709470	3.304606	
14	2.673585	1.666179	3.110315	-58.368587	-0.190696	58.368587	12.476948	-42.497230	-3.038859	42.497230	10.465286	3.336294	
15	2.709962	1.627853	3.093509	-55.104431	0.238165	55.104431	9.786587	-41.659212	-2.300301	41.659212	9.752862	3.363077	
16	2.796269	1.594544	3.076329	-52.241379	0.716869	52.241379	6.501983	-40.436889	-1.254155	40.436889	8.894001	3.383128	
17	2.917912	1.562331	3.059142	-50.181520	1.218509	50.181520	2.954869	-38.898237	-0.089318	38.898237	8.081182	3.394861	
18	3.057761	1.540216	3.042473	-49.432645	1.683289	49.432645	-0.495331	-37.232936	1.060314	37.232936	7.415128	3.397573	
19	3.205142	1.519387	3.026673	-49.741713	2.054643	49.741713	-3.353671	-35.571069	2.060593	35.571069	7.030838	3.392031	
20	3.347819	1.485713	3.012048	-50.724780	2.292279	50.724780	-5.327863	-34.046387	2.829686	34.046387	7.026403	3.380151	
21	3.465699	1.451254	2.998858	-52.685947	2.378023	52.685947	-6.531419	-32.826605	3.373508	32.826605	7.343223	3.364495	
22	3.547909	1.440792	2.987170	-56.012838	2.361906	56.012838	-7.407652	-31.862382	3.747414	31.862382	7.801382	3.347909	
23	3.600106	1.456450	2.976906	-60.341651	2.309928	60.341651	-8.191795	-31.019991	3.960391	31.019991	8.301899	3.333031	
24	3.630056	1.466305	2.968029	-64.631488	2.220040	64.631488	-8.595445	-30.356418	3.938829	30.356418	8.959253	3.321857	
25	3.637299	1.436552	2.960862	-68.150754	2.066618	68.150754	-8.374358	-29.988719	3.637216	29.988719	9.905741	3.315313	
26	3.615150	1.361994	2.956241	-70.963839	1.850108	70.963839	-7.627804	-29.943847	3.093315	29.943847	11.106898	3.313287	
27	3.562046	1.266342	2.955122	-73.540734	1.590673	73.540734	-6.593578	-30.190945	2.388120	30.190945	12.412427	3.315537	
28	3.487052	1.190714	2.957950	-76.432422	1.331548	76.432422	-5.611892	-30.673639	1.626707	30.673639	13.616250	3.322152	
29	3.403018	1.167342	2.964411	-79.920544	1.122523	79.920544	-4.998716	-31.335044	0.900007	31.335044	14.535781	3.333168	
30	3.315343	1.199449	2.973720	-83.795070	0.980682	83.795070	-4.812068	-32.153505	0.235303	32.153505	15.100540	3.348519	
31	3.218482	1.269962	2.985052	-87.588384	0.888560	87.588384	-4.885349	-33.119556	-0.387874	33.119556	15.328827	3.368218	
32	3.108959	1.353669	2.997853	-90.885197	0.825614	90.885197	-5.012883	-34.194983	-0.997138	34.194983	15.314443	3.392198	
33	2.994702	1.425717	3.011841	-93.421634	0.786744	93.421634	-5.071273	-35.330299	-1.613053	35.330299	15.218374	3.420313	
34	2.892601	1.466027	3.026896	-94.697381	0.763556	94.697381	-4.948942	-36.508698	-2.256266	36.508698	15.244127	3.452413	
35	2.820952	1.464693	3.043305	-94.002916	0.732687	94.002916	-4.514851	-37.697537	-2.926156	37.697537	15.561881	3.488120	
36	2.787839	1.441883	3.061664	-91.394526	0.692982	91.394526	-3.864244	-38.715332	-3.541725	38.715332	16.113976	3.526664	
37	2.787975	1.436527	3.082177	-87.789627	0.671023	87.789627	-3.287430	-39.360309	-3.996752	39.360309	16.664660	3.566771	
38	2.803335	1.460632	3.104553	-84.005655	0.681020	84.005655	-2.940602	-39.686145	-4.272155	39.686145	17.059690	3.606684	
39	2.816005	1.495528	3.128625	-80.394937	0.712709	80.394937	-2.776101	-39.889476	-4.432365	39.889476	17.328274	3.644850	
40	2.833313	1.523994	3.154622	-76.981336	0.732112	76.981336	-2.615123	-40.077559	-4.588461	40.077559	17.700960	3.680701	
41	2.875635	1.541772	3.182956	-73.625310	0.697088	73.625310	-2.278709	-40.288656	-4.836862	40.288656	18.442987	3.714597	
42	2.939524	1.550167	3.213937	-70.298711	0.594022	70.298711	-1.777348	-40.516625	-5.172775	40.516625	19.547833	3.747018	
43	2.998699	1.546283	3.247652	-67.131314	0.437184	67.131314	-1.253177	-40.736681	-5.525638	40.736681	20.782849	3.778162	
44	3.034904	1.520543	3.284168	-64.154832	0.238023	64.154832	-0.782731	-40.988537	-5.857892	40.988537	22.000748	3.808631	
45	3.045471	1.466275	3.323656	-61.263292	0.001199	61.263292	-0.391635	-41.301769	-6.157059	41.301769	23.171148	3.839666	
46	3.027273	1.385860	3.366030	-58.450606	-0.258554	58.450606	-0.149744	-41.598874	-6.381887	41.598874	24.189055	3.872425	
47	2.978912	1.289853	3.410650	-55.742381	-0.522821	55.742381	-0.130492	-41.764667	-6.481791	41.764667	24.892561	3.907969	
48	2.913283	1.196103	3.456586	-53.029910	-0.794347	53.029910	-0.349480	-41.722661	-6.443575	41.722661	25.228021	3.947648	
49	2.851110	1.124332	3.502993	-50.260314	-1.098760	50.260314	-0.758314	-41.425482	-6.296331	41.425482	25.274810	3.992789	
50	2.811900	1.087460	3.549077	-47.383463	-1.478355	47.383463	-1.230085	-40.820630	-6.093072	40.820630	25.182467	4.044329	
51	2.810467	1.087398	3.594221	-44.075524	-1.985821	44.075524	-1.606130	-39.890001	-5.876262	39.890001	25.090342	4.102659	
52	2.850150	1.124848	3.638387	-40.012387	-2.653297	40.012387	-1.837597	-38.695010	-5.632258	38.695010	24.997462	4.167530	
53	2.930413	1.215503	3.681986	-35.344104	-3.497059	35.344104	-2.002569	-37.288218	-5.308413	37.288218	24.798573	4.238502	
54	3.059943	1.386850	3.725323	-30.626418	-4.563048	30.626418	-2.163027	-35.643901	-4.874325	35.643901	24.449814	4.315835	
55	3.249373	1.655872	3.768432	-26.272228	-5.923512	26.272228	-2.259386	-33.768528	-4.343421	33.768528	24.001456	4.400949	
56	3.496291	2.011914	3.811506	-22.265634	-7.627627	22.265634	-2.120295	-31.833779	-3.763814	31.833779	23.560601	4.495938	
57	3.778051	2.420491	3.855060	-18.602984	-9.661346	18.602984	-1.568741	-30.101195	-3.191681	30.101195	23.209041	4.602507	
58	4.062684	2.838614	3.899709	-15.635837	-11.976777	15.635837	-0.432821	-28.812550	-2.705008	28.812550	23.051689	4.721300	
59	4.324676	3.223273	3.946767	-13.716763	-14.567763	13.716763	1.550777	-28.230377	-2.429743	28.230377	23.314645	4.852370	
60	4.541318	3.537884	3.998319	-12.919444	-17.474148	12.919444	4.681226	-28.584725	-2.450245	28.584725	24.062971	4.995666	
61	4.696921	3.754853	4.055983	-13.182735	-20.759657	13.182735	9.240855	-30.086589	-2.784388	30.086589	25.200752	5.150519	
62	4.791729	3.843979	4.121216	-14.494569	-24.501678	14.494569	15.520335	-33.115692	-3.479705	33.115692	26.885018	5.315417	
63	4.825267	3.774124	4.196144	-16.846023	-28.736886	16.846023	23.687761	-38.035265	-4.558611	38.035265	29.330827	5.488544	
64	4.786573	3.531130	4.282450	-19.917977	-33.476671	19.917977	33.719555	-44.809867	-5.934661	44.809867	32.465796	5.667248	
65	4.659634	3.116207	4.380191	-23.022443	-38.763099	23.022443	45.461457	-52.966581	-7.472911	52.966581	36.045676	5.846949	
66	4.425014	2.538003	4.487653	-25.454482	-44.623120	25.454482	58.594646	-61.760792	-9.038237	61.760792	39.729294	6.022423	
67	4.069740	1.823048	4.601665	-26.644359	-51.045561	26.644359	72.687833	-70.301758	-10.509351	70.301758	43.070092	6.190319	
68	3.605732	1.029558	4.718004	-26.046111	-58.093050	26.046111	87.464051	-77.668351	-11.798659	77.668351	45.592910	6.349211	
69	3.080469	0.249099	4.831539	-23.426129	-66.003491	23.426129	102.998735	-83.215344	-12.824792	83.215344	46.856140	6.498119	
70	2.555215	-0.415352	4.936580	-19.483888	-75.119724	19.483888	119.576236	-86.829303	-13.416679	86.829303	46.340557	6.635854	
71	2.065785	-0.893289	5.027292	-15.811301	-85.834287	15.811301	137.479880	-88.858282	-13.293090	88.858282	43.430777	6.761029	
72	1.626823	-1.173776	5.098254	-14.554778	-98.638879	14.554778	156.950292	-90.208731	-12.325461	90.208731	38.111992	6.872289	
73	1.265096	-1.281976	5.146400	-18.414249	-114.023409	18.414249	178.119037	-92.535635	-10.719924	92.535635	31.445314	6.968371	
74	1.018316	-1.234535	5.172469	-30.104936	-132.382550	30.104936	201.094742	-97.891741	-8.675486	97.891741	24.634357	7.047721	
75	0.914107	-1.032785	5.179854	-51.414203	-154.135511	51.414203	226.189086	-108.186642	-6.079184	108.186642	18.160319	7.107996	
76	0.968044	-0.677767	5.173006	-82.743055	-179.807560	82.743055	253.935948	-124.943438	-2.598585	124.943438	11.939324	7.145626	
77	1.184225	-0.168253	5.156579	-123.239373	-209.995900	123.239373	284.938804	-149.181369	2.249101	149.181369	5.453108	7.155487	
