kww	// User ID
5-7-2021	// Evaluation date
p12_warmup_011_531	5-7-2021	11:09:44:203	// Source file name and timestamp
238.095	// Sampling rate
0.842	// Data capture period

1.750000	// height
83.200000	// mass


Sample #	var_mom	ir_mom	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldrIR	
160	3.053458	-13.427027	737.649997	18.424398	-737.649997	700.208169	581.264817	-117.114020	-581.264817	115.420534	0.910107	8.883277	-45.222104	-146.679147	
161	3.732586	-10.629018	909.845161	-1.705050	-909.845161	722.212700	607.429251	-130.373398	-607.429251	128.909019	0.908166	8.804366	-41.485064	-138.841135	
162	2.435518	-6.668744	1134.783376	-7.182256	-1134.783376	472.424318	716.829505	-103.667170	-716.829505	101.007381	0.911134	8.677227	-37.674452	-129.962160	
163	0.098365	-1.788971	1288.612336	13.994328	-1288.612336	17.830086	841.111484	-48.558012	-841.111484	41.404533	0.918824	8.436399	-35.236141	-120.537459	
164	-1.866777	3.070702	1293.841349	55.515061	-1293.841349	-430.928279	895.202103	8.167435	-895.202103	-17.782195	0.931196	8.092407	-36.211068	-111.187020	
165	-2.633745	6.863614	1170.381072	99.539552	-1170.381072	-703.110323	856.336561	44.598370	-856.336561	-51.406881	0.948664	7.726298	-42.531031	-102.510928	
166	-2.279381	9.116879	993.229286	132.585409	-993.229286	-779.877751	762.660528	57.525283	-762.660528	-59.202988	0.971679	7.423539	-53.859230	-94.951575	
167	-1.295287	9.984397	820.732208	150.640804	-820.732208	-735.697826	658.813562	56.184424	-658.813562	-54.350702	1.000910	7.221397	-66.152430	-88.740861	
168	-0.155238	9.889700	673.867871	155.783255	-673.867871	-647.622406	568.717534	50.494729	-568.717534	-48.667421	1.037321	7.107240	-75.630973	-83.929960	
169	0.811663	9.226123	552.437703	152.993271	-552.437703	-562.028521	499.677187	46.319222	-499.677187	-47.934648	1.080821	7.044996	-81.875109	-80.453913	
170	1.420381	8.263623	450.461126	147.563009	-450.461126	-497.964929	450.709774	46.207722	-450.709774	-53.291362	1.129010	6.998536	-85.974419	-78.191321	
171	1.610853	7.185338	362.391324	142.477254	-362.391324	-456.798214	416.649682	50.690351	-416.649682	-63.396240	1.178101	6.941566	-88.915822	-77.003738	
172	1.434287	6.114849	285.139374	137.737194	-285.139374	-431.002493	390.996755	58.885496	-390.996755	-75.963583	1.224930	6.858865	-91.309048	-76.756567	
173	1.010264	5.094705	218.477254	131.913033	-218.477254	-411.824132	368.452317	69.328704	-368.452317	-88.985014	1.267996	6.743880	-93.496815	-77.326110	
174	0.476720	4.086799	164.135652	123.535879	-164.135652	-393.192357	345.530258	80.676193	-345.530258	-101.197088	1.306835	6.595090	-95.665521	-78.595757	
175	-0.031814	3.039178	124.489545	112.035758	-124.489545	-372.566079	320.341962	91.613017	-320.341962	-111.573033	1.341148	6.413864	-97.907890	-80.446025	
176	-0.402295	1.977529	100.527373	98.638801	-100.527373	-350.140649	292.613029	100.478307	-292.613029	-118.664234	1.371103	6.205997	-100.256662	-82.747186	
177	-0.576045	1.001590	89.670060	85.482159	-89.670060	-326.558736	263.145863	105.678315	-263.145863	-120.997695	1.397490	5.984176	-102.710227	-85.364072	
178	-0.574878	0.172180	86.325771	73.790808	-86.325771	-302.156591	233.191336	106.777859	-233.191336	-118.303478	1.421032	5.765514	-105.255604	-88.171942	
179	-0.482757	-0.542972	84.913212	63.681674	-84.913212	-277.884650	204.203741	104.708137	-204.203741	-111.797553	1.441912	5.564732	-107.878277	-91.069511	
180	-0.387679	-1.200357	82.211071	55.032814	-82.211071	-255.041661	177.552966	100.794414	-177.552966	-103.174601	1.459919	5.389628	-110.557345	-93.980354	
181	-0.355188	-1.812441	77.354632	48.040273	-77.354632	-234.798420	154.365446	96.110422	-154.365446	-93.885049	1.474870	5.241714	-113.260071	-96.848393	
182	-0.448386	-2.365910	70.502663	43.084020	-70.502663	-218.820805	135.538176	91.772872	-135.538176	-85.401488	1.486693	5.117880	-115.945850	-99.635829	
183	-0.720878	-2.872399	62.242177	40.121907	-62.242177	-208.910657	121.399126	88.983929	-121.399126	-79.216119	1.495274	5.010683	-118.575120	-102.323084	
184	-1.187820	-3.372650	53.885892	38.619092	-53.885892	-205.715450	111.472459	88.420607	-111.472459	-76.177881	1.500310	4.909741	-121.113728	-104.904668	
185	-1.829501	-3.884451	46.717729	38.045182	-46.717729	-208.443370	104.941468	89.825702	-104.941468	-76.178577	1.501338	4.804531	-123.531636	-107.379197	
186	-2.598537	-4.350919	40.445687	38.028939	-40.445687	-214.698829	101.001555	91.964544	-101.001555	-78.217324	1.498047	4.686846	-125.802952	-109.740619	
187	-3.399384	-4.662662	33.620263	38.154556	-33.620263	-220.379310	98.519057	92.993175	-98.519057	-80.581287	1.490574	4.552854	-127.911001	-111.978939	
188	-4.096208	-4.742199	25.554836	37.932559	-25.554836	-221.422034	95.915800	91.452024	-95.915800	-81.484589	1.479645	4.404474	-129.854387	-114.088623	
189	-4.569270	-4.572429	16.535274	37.021937	-16.535274	-215.711693	91.819469	86.886670	-91.819469	-79.745472	1.466363	4.248355	-131.648435	-116.075668	
190	-4.737902	-4.174831	6.947793	35.171585	-6.947793	-202.811901	85.384333	79.555724	-85.384333	-74.831267	1.451667	4.093295	-133.322674	-117.960504	
191	-4.564091	-3.665102	-2.044315	31.854213	2.044315	-183.178585	76.013638	70.224505	-76.013638	-66.901435	1.436204	3.948165	-134.915911	-119.777077	
192	-4.077514	-3.208292	-8.367901	26.731248	8.367901	-157.881855	63.770187	59.710078	-63.770187	-56.725699	1.420723	3.819096	-136.463217	-121.560117	
193	-3.323921	-2.800274	-10.849155	20.308259	10.849155	-127.581006	49.748797	47.977494	-49.748797	-44.733274	1.406424	3.708223	-137.980832	-123.326074	
194	-2.299176	-2.285621	-9.653110	13.268430	9.653110	-91.798325	35.108254	34.375015	-35.108254	-30.660720	1.395012	3.617020	-139.467531	-125.072033	
195	-1.012959	-1.578635	-5.067818	5.867522	5.067818	-50.397446	20.399243	18.810608	-20.399243	-14.534432	1.388484	3.548248	-140.917243	-126.790830	
196	0.445310	-0.699156	2.272397	-1.868726	-2.272397	-4.580576	5.688901	1.998731	-5.688901	2.882278	1.389004	3.503798	-142.324334	-128.479696	
197	1.879182	0.256961	10.288286	-9.756602	-10.288286	42.161449	-9.001033	-14.451577	9.001033	19.912238	1.398825	3.483147	-143.682082	-130.139864	
198	3.092932	1.165783	16.024058	-17.697317	-16.024058	86.259057	-24.152786	-28.964677	24.152786	34.966099	1.419397	3.482895	-144.981875	-131.774762	
199	3.602899	1.623235	16.666952	-23.150666	-16.666952	112.076778	-35.345827	-36.108177	35.345827	42.318504	1.449959	3.495577	-146.213391	-133.387511	
200	3.723526	1.832634	12.487759	-27.509820	-12.487759	128.445968	-45.943209	-39.186816	45.943209	45.373115	1.485992	3.506385	-147.365266	-134.975218	
