kww	// User ID
5-7-2021	// Evaluation date
p12_warmup_011_531	5-7-2021	11:09:44:203	// Source file name and timestamp
238.095	// Sampling rate
0.842	// Data capture period

1.750000	// height
83.200000	// mass


Sample #	var_mom	ir_mom	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldrIR	
37	2.553168	-0.955495	-4.870464	0.982905	4.870464	5.592641	-5.513198	1.620542	5.513198	2.813394	1.777551	0.474827	-63.507031	-61.340635	
38	2.697336	-0.963114	-5.044430	1.079562	5.044430	5.457143	-5.939057	1.758204	5.939057	4.187071	1.839684	0.488897	-62.820617	-60.360792	
39	2.852881	-0.948176	-4.973129	1.232810	4.973129	5.238998	-6.356475	1.939978	6.356475	5.661341	1.915617	0.511984	-62.132919	-59.364698	
40	3.028641	-0.907874	-4.802607	1.443643	4.802607	4.868306	-6.795335	2.174086	6.795335	7.224045	2.004237	0.543689	-61.446031	-58.355354	
41	3.239152	-0.847931	-4.715209	1.693396	4.715209	4.269041	-7.283407	2.469217	7.283407	8.895368	2.103393	0.583764	-60.763633	-57.338703	
42	3.482094	-0.781662	-4.687241	1.969571	4.687241	3.490968	-7.821401	2.793303	7.821401	10.740987	2.209515	0.632563	-60.089810	-56.321834	
43	3.715420	-0.728745	-4.743901	2.277134	4.743901	2.801947	-8.312789	3.012716	8.312789	12.824573	2.317630	0.690613	-59.427808	-55.311111	
44	3.892011	-0.701245	-5.127041	2.613658	5.127041	2.500140	-8.625954	2.973860	8.625954	15.104654	2.422528	0.757310	-58.779492	-54.311921	
45	4.007905	-0.691144	-5.692565	2.947023	5.692565	2.703627	-8.748134	2.639558	8.748134	17.433542	2.520103	0.830471	-58.145632	-53.329784	
46	4.094453	-0.683674	-5.855771	3.228794	5.855771	3.417341	-8.762584	2.061744	8.762584	19.709038	2.607489	0.907408	-57.526520	-52.370783	
47	4.195905	-0.672310	-5.334874	3.404719	5.334874	4.618038	-8.784014	1.295955	8.784014	22.016498	2.682843	0.986760	-56.922732	-51.441821	
48	4.346280	-0.658277	-4.266095	3.403231	4.266095	6.300305	-8.971538	0.362907	8.971538	24.572550	2.745685	1.069678	-56.335860	-50.551621	
49	4.538339	-0.648756	-2.899532	3.146927	2.899532	8.559787	-9.454306	-0.773432	9.454306	27.504460	2.796628	1.158565	-55.768460	-49.710855	
50	4.736658	-0.653078	-1.538395	2.579900	1.538395	11.541514	-10.272974	-2.176715	10.272974	30.769426	2.836559	1.254837	-55.223250	-48.931225	
51	4.914267	-0.672146	-0.308278	1.680887	0.308278	15.318650	-11.443406	-3.880274	11.443406	34.241307	2.866380	1.358436	-54.702358	-48.225076	
52	5.060176	-0.695508	0.913841	0.460407	-0.913841	19.827617	-12.981212	-5.851574	12.981212	37.778780	2.886744	1.468604	-54.207311	-47.605418	
53	5.169315	-0.718474	2.112032	-1.053210	-2.112032	24.894517	-14.851219	-8.015163	14.851219	41.277065	2.897713	1.584445	-53.739672	-47.085466	
54	5.230310	-0.752042	3.125619	-2.803393	-3.125619	30.346633	-16.945909	-10.302457	16.945909	44.642884	2.899082	1.704812	-53.301304	-46.677922	
55	5.230326	-0.805645	3.913632	-4.698792	-3.913632	36.023294	-19.149175	-12.638086	19.149175	47.739193	2.890933	1.828031	-52.893959	-46.394647	
56	5.174748	-0.877071	4.468257	-6.650422	-4.468257	41.732055	-21.420394	-14.923057	21.420394	50.473061	2.873904	1.952396	-52.519042	-46.246611	
57	5.080351	-0.962944	4.836765	-8.585589	-4.836765	47.318480	-23.765173	-17.067142	23.765173	52.833375	2.849105	2.076774	-52.177536	-46.243773	
58	4.955450	-1.062508	5.228399	-10.440252	-5.228399	52.702095	-26.150474	-19.001088	26.150474	54.795976	2.817616	2.200357	-51.869654	-46.394710	
59	4.805485	-1.173364	5.718050	-12.176855	-5.718050	57.793438	-28.520002	-20.672786	28.520002	56.324800	2.779660	2.322270	-51.594508	-46.706173	
60	4.640926	-1.295431	6.120764	-13.777207	-6.120764	62.462021	-30.839707	-22.054791	30.839707	57.429538	2.734113	2.441910	-51.349670	-47.182932	
